ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2020-12-03 04:54:08,167,204,139,9,40,0,0,0,0,0,0,0,0,0,0,76,58
2020_Q3,2020,3,2020-08-26 19:08:14,206,191,126,7,36,0,0,0,0,0,0,0,0,0,0,72,47
2020_Q2,2020,2,2020-05-27 19:28:08,253,153,148,18,44,0,0,0,0,0,0,0,0,0,0,74,43
2020_Q1,2020,1,2020-02-21 23:44:11,140,171,102,5,22,0,0,0,0,0,0,0,0,0,0,48,49
2019_Q4,2019,4,2019-12-04 17:34:06,121,179,68,6,17,0,0,0,0,0,0,0,0,0,0,40,21
2019_Q3,2019,3,2019-08-21 17:07:31,118,163,85,5,23,0,0,0,0,0,0,0,0,0,0,50,33
2019_Q2,2019,2,2019-05-23 18:36:11,114,203,71,5,23,0,0,0,0,0,0,0,0,0,0,37,30
2019_Q-1,2019,-1,2019-01-08 23:28:21,68,91,64,4,11,0,0,0,0,0,0,0,0,0,0,33,28
2019_Q1,2019,1,2019-02-22 20:09:06,114,149,128,8,21,0,0,0,0,0,0,0,0,0,0,33,43
2018_Q4,2018,4,2018-11-28 19:37:07,103,204,108,10,12,0,0,0,0,0,0,0,0,0,0,55,39
2018_Q-1,2018,-1,2018-09-05 18:54:07,37,96,29,1,4,0,0,0,0,0,0,0,0,0,0,38,20
2018_Q3,2018,3,2018-08-22 19:00:09,104,191,113,11,15,0,0,0,0,0,0,0,0,0,0,28,41
2018_Q2,2018,2,2018-05-24 19:06:07,85,159,69,6,12,0,0,0,0,0,0,0,0,0,0,45,29
2017_Q4,2017,4,2017-11-29 20:57:16,88,199,93,17,14,0,0,0,0,0,0,0,0,0,0,32,33
2017_Q-1,2017,-1,2017-09-13 22:53:04,68,116,60,11,7,0,0,0,0,0,0,0,0,0,0,10,31
2017_Q3,2017,3,2017-08-23 18:46:02,87,171,74,37,20,0,0,0,0,1,0,0,0,0,0,29,33
2017_Q2,2017,2,2017-05-25 16:36:08,91,128,73,13,16,0,0,0,0,0,0,1,0,0,0,29,28
2017_Q1,2017,1,2017-02-24 19:18:18,89,194,93,15,25,0,0,0,0,0,0,0,0,0,0,41,49
2016_Q4,2016,4,2016-11-30 21:43:18,100,171,81,13,18,0,0,0,0,0,0,0,1,0,0,41,28
2016_Q3,2016,3,2016-08-24 19:01:50,97,163,99,13,25,0,0,0,0,0,0,0,0,0,0,36,37
2016_Q2,2016,2,2016-05-26 21:35:25,107,164,73,14,16,0,0,0,0,0,0,0,0,0,0,42,33
2016_Q1,2016,1,2016-02-24 18:28:11,189,134,119,13,15,0,0,0,0,0,0,0,0,0,0,40,42
2015_Q4,2015,4,2015-12-02 19:20:09,111,175,82,8,16,0,0,0,0,0,0,0,0,0,0,31,24
2015_Q3,2015,3,2015-08-26 18:11:12,161,140,109,10,29,0,0,0,0,0,0,0,0,0,0,47,41
2015_Q2,2015,2,2015-05-28 16:37:11,98,122,66,19,13,0,0,0,0,0,0,0,0,0,0,24,19
2015_Q1,2015,1,2015-02-25 19:31:12,155,146,106,8,13,0,0,0,0,0,0,0,0,0,0,39,31
2014_Q4,2014,4,2014-12-03 19:55:06,124,178,72,9,19,0,0,0,0,0,0,0,0,0,0,64,20
2014_Q3,2014,3,2014-08-23 00:45:05,94,219,74,23,8,0,0,0,0,0,0,0,0,0,0,18,19
2014_Q2,2014,2,2014-05-22 18:53:06,79,180,64,13,12,0,0,0,0,0,0,0,0,0,0,34,23
2014_Q1,2014,1,2014-02-26 18:11:10,84,169,55,24,16,0,0,0,0,0,0,0,0,0,0,52,20
2013_Q4,2013,4,2013-12-05 17:11:07,83,208,69,16,18,0,0,0,0,0,0,0,0,0,0,56,19
2013_Q-1,2013,-1,2013-02-28 23:01:02,134,210,67,25,21,0,0,0,0,0,0,0,0,0,0,91,28
2013_Q3,2013,3,2013-08-29 14:31:14,65,140,55,10,15,0,0,0,0,0,0,0,0,0,0,36,15
2013_Q2,2013,2,2013-05-30 17:41:11,111,141,93,24,13,0,0,0,0,0,0,0,0,0,0,42,20
2013_Q1,2013,1,2013-02-28 19:11:08,99,149,65,16,11,0,0,0,0,0,0,0,0,0,0,53,29
2012_Q4,2012,4,2012-11-29 19:50:07,88,201,115,19,20,0,0,0,0,0,0,2,0,0,0,42,40
2012_Q3,2012,3,2012-08-30 16:55:06,84,156,77,7,21,0,0,0,0,0,0,0,0,0,0,31,21
2008_Q3,2008,3,2008-08-28 22:28:13,147,138,73,4,17,0,0,0,0,0,0,0,0,0,0,28,26
2007_Q4,2007,4,2007-11-30 08:58:02,165,152,119,8,20,0,0,0,0,0,0,0,0,0,0,63,38
2007_Q3,2007,3,2007-09-18 08:51:22,136,132,120,12,28,0,0,0,0,0,0,0,0,0,0,62,36
