ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q0,2020,0,2020-12-01 19:22:02,33,72,19,1,0,0,0,0,0,0,0,0,0,0,0,24,11
2020_Q3,2020,3,2020-10-26 19:12:02,113,177,100,9,16,0,0,0,0,0,0,0,0,0,0,118,41
2020_Q2,2020,2,2020-07-27 17:00:09,118,180,92,11,13,0,0,0,0,0,0,0,0,0,0,98,51
2020_Q-1,2020,-1,2020-06-15 23:21:11,92,130,83,4,10,0,0,0,0,0,0,0,0,0,0,73,44
2020_Q1,2020,1,2020-04-21 20:47:18,126,162,121,9,12,0,0,0,0,0,0,0,0,0,0,97,60
2019_Q4,2019,4,2020-01-28 21:43:29,71,235,59,8,12,0,0,0,0,0,0,0,0,0,0,52,29
2019_Q3,2019,3,2019-10-21 21:28:13,81,224,68,9,8,0,0,0,0,0,0,0,0,0,0,80,38
2019_Q2,2019,2,2019-07-18 19:42:57,90,246,60,5,6,0,0,0,0,0,0,0,0,0,0,91,34
2019_Q1,2019,1,2019-04-24 18:47:11,76,264,73,7,14,0,0,0,0,0,0,0,0,0,0,111,36
2018_Q4,2018,4,2019-01-29 19:43:16,89,184,75,16,4,0,0,0,0,0,0,0,0,0,0,74,49
2018_Q3,2018,3,2018-10-18 19:50:06,92,200,79,6,7,0,0,0,0,0,0,0,0,0,0,57,40
2018_Q2,2018,2,2018-07-19 19:52:16,104,184,74,11,3,0,0,0,0,0,0,0,0,0,0,52,43
2018_Q1,2018,1,2018-04-24 19:40:11,90,199,71,6,6,0,0,0,0,0,0,0,0,0,0,111,42
2017_Q4,2017,4,2018-01-30 19:35:07,80,206,84,2,8,0,0,0,0,0,0,0,0,0,0,112,37
2017_Q3,2017,3,2017-10-19 19:01:28,56,177,67,10,7,0,0,0,0,0,0,0,0,0,0,90,36
2017_Q2,2017,2,2017-07-20 18:07:40,74,214,84,8,7,0,0,0,0,0,0,0,0,0,0,72,55
2017_Q1,2017,1,2017-04-25 17:29:06,94,184,86,4,6,0,0,0,0,0,0,0,0,0,0,70,47
2016_Q4,2016,4,2017-01-24 18:56:15,53,190,87,5,5,0,0,0,0,0,0,0,0,0,0,72,44
2016_Q3,2016,3,2016-10-21 21:06:21,56,186,74,1,9,0,0,0,0,0,0,0,0,0,0,86,50
2016_Q2,2016,2,2016-07-20 22:26:36,83,195,74,9,7,0,0,0,0,0,0,0,0,0,0,51,42
2016_Q1,2016,1,2016-04-21 01:26:26,82,187,79,6,6,0,0,0,0,0,0,0,0,0,0,77,41
2015_Q3,2015,3,2015-10-20 15:33:07,57,149,46,6,8,0,0,0,0,0,0,0,0,0,0,44,26
2015_Q2,2015,2,2015-07-21 17:27:04,81,182,67,3,5,0,0,0,0,0,0,0,0,0,0,52,43
2015_Q1,2015,1,2015-04-21 19:11:24,71,169,57,9,9,0,0,0,0,0,0,0,0,0,0,48,31
2014_Q4,2014,4,2015-01-20 19:39:05,72,147,66,9,5,0,0,0,0,0,0,0,0,0,0,79,35
2014_Q3,2014,3,2014-10-20 21:14:07,74,150,61,16,6,0,0,0,0,0,0,0,0,0,0,76,28
2014_Q2,2014,2,2014-07-17 18:24:05,55,122,43,11,4,0,0,0,0,0,0,0,0,0,0,42,25
2014_Q1,2014,1,2014-04-17 17:57:11,82,151,62,7,6,0,0,0,0,0,0,0,0,0,0,49,35
2013_Q4,2013,4,2014-01-21 17:51:08,44,168,40,3,4,0,0,0,0,0,0,0,0,0,0,56,18
2013_Q0,2013,0,2013-12-03 20:13:09,64,114,55,1,5,0,0,0,0,0,0,0,0,0,0,50,25
2013_Q3,2013,3,2013-10-21 15:51:11,53,120,56,3,9,0,0,0,0,0,0,0,0,0,0,43,28
2013_Q-1,2013,-1,2013-02-13 07:01:03,21,95,57,6,0,0,0,0,0,0,0,0,0,0,0,16,42
2013_Q2,2013,2,2013-07-18 16:11:06,69,148,72,4,10,0,0,0,0,0,0,0,0,0,0,47,45
2013_Q1,2013,1,2013-04-19 15:51:08,67,182,58,4,6,0,0,0,0,0,0,0,0,0,0,59,26
2012_Q4,2012,4,2013-01-24 05:51:08,64,209,60,4,8,1,0,0,0,0,0,0,0,0,0,78,28
2012_Q3,2012,3,2012-10-24 19:01:03,49,181,52,3,3,0,0,0,0,0,0,0,0,0,0,56,26
2010_Q3,2010,3,2010-11-01 15:18:49,60,163,62,1,6,0,0,0,0,0,0,0,0,0,0,57,33
2010_Q1,2010,1,2010-04-29 07:25:12,65,139,57,5,4,0,0,0,0,0,0,0,0,0,0,61,31
