ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2021_Q1,2021,1,2021-01-27 07:06:41,118,282,101,3,12,0,0,0,0,0,0,0,0,0,0,65,47
2020_Q4,2020,4,2020-10-30 09:17:09,138,340,113,7,16,0,0,0,0,0,0,0,0,0,0,53,43
2020_Q3,2020,3,2020-07-29 05:04:12,151,313,121,3,11,0,0,0,0,0,0,0,0,0,0,75,43
2020_Q-1,2020,-1,2020-06-17 18:20:09,37,125,39,1,3,0,0,0,0,0,0,0,0,0,0,27,22
2020_Q1,2020,1,2020-01-29 01:57:17,109,242,79,2,22,0,0,0,0,0,1,0,0,0,0,74,50
2019_Q-1,2019,-1,2019-12-03 15:53:10,29,127,35,5,6,0,0,0,0,0,0,0,0,0,0,12,25
2019_Q4,2019,4,2019-10-31 02:22:45,76,297,63,2,9,0,0,0,0,0,0,0,0,0,0,65,24
2019_Q0,2019,0,2019-03-22 06:26:13,105,237,65,26,32,0,0,0,0,0,0,0,0,0,0,84,39
2019_Q3,2019,3,2019-07-26 02:40:09,89,279,75,1,12,0,0,0,0,0,0,0,0,0,0,48,32
2019_Q2,2019,2,2019-04-26 02:19:18,77,253,62,1,13,0,0,0,0,0,0,0,0,0,0,47,32
2019_Q1,2019,1,2019-01-25 05:48:18,65,238,49,2,10,0,0,0,0,0,0,0,0,0,0,70,26
2018_Q4,2018,4,2018-11-02 02:16:57,75,262,62,2,10,0,0,0,0,0,0,0,0,0,0,82,34
2018_Q3,2018,3,2018-07-27 01:42:15,83,216,71,5,14,0,0,0,0,0,0,0,0,0,0,94,35
2018_Q2,2018,2,2018-04-27 01:30:14,105,274,90,4,13,0,0,0,0,0,0,0,0,0,0,117,43
2018_Q0,2018,0,2018-03-23 20:40:08,150,336,111,29,42,0,0,0,0,0,0,1,0,0,0,80,63
2018_Q-1,2018,-1,2018-03-09 23:19:12,45,108,43,1,1,0,0,0,0,0,0,0,0,0,0,45,25
2018_Q1,2018,1,2018-01-26 07:11:07,86,274,111,20,12,0,0,0,0,0,0,0,0,0,0,125,60
2017_Q-1,2017,-1,2017-03-10 04:14:10,46,189,55,1,3,0,0,0,0,0,0,0,0,0,0,50,37
2017_Q4,2017,4,2017-11-03 03:42:41,97,251,79,6,24,0,0,0,0,0,0,0,0,0,0,119,31
2017_Q3,2017,3,2017-07-28 05:14:23,91,331,96,1,16,0,0,0,0,0,0,0,0,0,0,154,45
2017_Q2,2017,2,2017-04-28 02:54:37,112,303,74,3,12,0,0,0,0,0,0,0,0,0,0,105,33
2017_Q0,2017,0,2017-03-23 01:02:10,134,309,95,25,24,0,0,0,0,0,0,0,0,0,0,80,53
2017_Q1,2017,1,2017-01-27 05:01:04,94,228,78,3,10,0,0,0,0,0,0,0,0,0,0,88,52
2016_Q4,2016,4,2016-11-04 04:32:31,86,298,98,5,7,0,0,0,0,0,0,0,0,0,0,93,49
2016_Q-1,2016,-1,2016-09-08 01:10:21,26,119,46,2,5,0,0,0,0,0,0,0,0,0,0,69,38
2016_Q3,2016,3,2016-07-22 03:16:33,110,318,90,1,12,0,0,0,0,0,0,0,0,0,0,97,47
2016_Q2,2016,2,2016-04-22 04:12:21,79,317,91,3,8,0,0,0,0,0,0,0,0,0,0,91,58
2016_Q0,2016,0,2016-03-28 17:59:10,99,286,117,19,12,0,0,0,0,0,0,0,0,0,0,102,72
2016_Q1,2016,1,2016-01-22 05:01:15,84,255,69,4,8,0,0,0,0,0,0,0,0,0,0,63,38
2015_Q-1,2015,-1,2015-03-05 20:08:06,41,111,61,4,3,0,0,0,0,0,0,0,0,0,0,60,50
2015_Q4,2015,4,2015-10-30 05:46:08,89,299,100,6,8,0,0,0,0,0,0,0,0,0,0,107,59
