ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q3,2020,3,2020-11-18 05:21:08,52,162,47,3,8,0,0,0,0,0,0,0,0,0,0,32,14
2020_Q2,2020,2,2020-08-18 17:15:12,50,170,32,2,16,0,0,0,0,0,0,0,0,0,0,47,12
2020_Q1,2020,1,2020-05-19 01:26:12,91,147,52,3,14,0,0,0,0,0,0,0,0,0,0,41,19
2020_Q4,2020,4,2021-03-03 03:12:09,48,158,39,4,8,0,0,0,0,0,0,0,0,0,0,39,15
2019_Q4,2019,4,2020-03-04 06:31:36,51,258,44,1,1,0,0,0,0,0,0,0,0,0,0,36,20
2019_Q3,2019,3,2019-11-12 17:59:08,52,181,59,1,2,0,0,0,0,0,0,0,0,0,0,52,26
2019_Q2,2019,2,2019-08-20 17:35:06,48,182,66,1,1,0,0,0,0,0,0,0,0,0,0,33,23
2019_Q1,2019,1,2019-05-22 06:44:10,53,194,80,9,1,0,0,0,0,0,0,0,0,0,0,45,40
2018_Q4,2018,4,2019-02-27 15:49:22,74,177,57,2,1,0,0,0,0,0,0,0,0,0,0,44,30
2018_Q2,2018,2,2018-08-22 19:01:02,78,160,67,7,5,0,0,0,0,0,0,0,0,0,0,38,38
2016_Q3,2016,3,2016-11-02 18:22:30,64,145,50,31,13,0,0,0,0,0,0,0,0,0,0,54,26
2016_Q2,2016,2,2016-08-03 21:16:49,62,153,82,25,17,0,0,0,0,0,0,0,0,0,0,53,44
2015_Q4,2015,4,2016-02-03 19:36:11,65,107,64,18,8,0,0,0,0,0,0,0,0,0,0,42,32
2015_Q3,2015,3,2015-11-04 20:40:06,71,206,117,50,15,0,0,0,0,0,0,0,0,0,0,72,64
2015_Q2,2015,2,2015-08-05 18:24:07,75,140,87,32,15,0,0,0,0,0,0,0,0,0,0,69,47
2015_Q1,2015,1,2015-05-06 16:16:08,68,137,64,26,13,0,0,0,0,0,0,0,0,0,0,55,23
2014_Q4,2014,4,2015-02-04 18:38:11,35,54,27,12,9,0,0,0,0,0,0,0,0,0,0,35,19
2014_Q3,2014,3,2014-11-05 20:31:21,54,168,103,22,9,0,0,0,0,0,0,0,0,0,0,77,53
2014_Q2,2014,2,2014-08-06 19:42:09,69,130,79,21,21,0,0,0,0,0,0,0,0,0,0,58,46
2014_Q1,2014,1,2014-05-07 16:55:04,49,137,58,15,20,0,0,0,0,0,0,0,1,0,0,42,33
2013_Q4,2013,4,2014-02-04 21:01:02,47,71,49,14,6,0,0,0,0,0,0,0,0,0,0,59,25
2013_Q3,2013,3,2013-11-04 18:31:10,60,132,71,28,16,0,1,0,0,0,0,0,0,0,0,54,52
2013_Q2,2013,2,2013-08-06 19:31:24,127,251,150,32,22,0,0,0,0,0,0,0,0,0,0,133,83
2013_Q1,2013,1,2013-05-03 16:02:21,52,100,60,15,10,0,0,0,0,0,0,0,0,0,0,63,36
2013_Q-1,2013,-1,2013-01-16 21:11:06,104,356,151,40,22,0,0,0,0,0,0,0,0,0,0,184,56
2012_Q4,2012,4,2013-02-05 19:31:40,89,93,79,27,5,0,0,0,0,0,0,0,0,0,0,64,49
2012_Q3,2012,3,2012-11-01 17:31:07,68,122,54,21,12,0,0,0,0,0,0,0,0,0,0,62,34
2012_Q2,2012,2,2012-08-03 08:11:12,67,74,41,8,6,0,0,0,0,0,0,0,0,0,0,43,19
2012_Q1,2012,1,2012-05-04 18:51:17,64,126,80,7,8,0,0,0,0,0,0,0,0,0,0,75,48
2012_Q0,2012,0,2012-05-01 21:51:06,32,87,21,30,12,0,0,0,0,0,0,0,0,0,0,45,9
2012_Q-1,2012,-1,2012-01-17 20:31:02,91,342,132,34,35,0,0,0,0,0,0,0,0,0,0,171,72
2011_Q4,2011,4,2012-02-02 18:41:11,76,72,57,9,6,0,0,0,0,0,0,0,0,0,0,32,42
