ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q3,2020,3,2020-10-30 00:02:31,153,266,175,12,19,0,0,0,0,0,0,1,0,0,0,113,108
2020_Q2,2020,2,2020-07-29 22:12:12,142,228,122,8,24,0,0,0,0,0,0,0,0,1,1,85,76
2020_Q-1,2020,-1,2020-06-25 23:42:12,177,327,181,34,42,0,0,0,0,0,0,0,0,0,0,146,97
2020_Q1,2020,1,2020-04-24 23:11:09,189,226,143,14,22,0,0,0,0,0,0,0,0,0,0,113,82
2019_Q4,2019,4,2020-02-07 08:25:34,124,204,104,11,16,0,0,0,0,0,0,0,0,0,0,115,67
2019_Q3,2019,3,2019-10-31 23:26:07,117,192,90,6,12,0,0,0,0,0,0,0,0,0,0,91,60
2019_Q2,2019,2,2019-07-29 20:08:10,143,169,96,26,18,0,0,0,0,0,0,0,0,0,0,40,40
2019_Q1,2019,1,2019-04-27 00:00:17,125,186,101,8,11,0,0,0,0,0,0,0,0,0,0,83,47
2018_Q4,2018,4,2019-02-07 21:04:07,142,220,108,13,24,0,0,0,0,0,0,0,0,0,0,86,57
2018_Q3,2018,3,2018-10-31 20:06:26,89,180,70,10,6,0,0,0,0,0,0,0,0,0,0,60,34
2018_Q2,2018,2,2018-07-31 21:44:11,130,194,81,7,15,0,0,0,0,0,0,0,0,0,0,77,45
2018_Q1,2018,1,2018-04-27 20:51:09,116,181,78,11,13,0,0,0,0,0,0,0,0,0,0,65,34
2017_Q4,2017,4,2018-02-07 21:24:11,132,172,100,10,12,0,0,0,0,0,0,0,0,0,0,108,53
2017_Q3,2017,3,2017-11-02 22:20:41,144,172,91,22,8,0,0,0,0,0,0,0,0,0,0,72,43
2017_Q2,2017,2,2017-07-31 18:03:38,126,170,95,7,11,0,0,0,0,0,0,0,0,0,0,62,53
2017_Q1,2017,1,2017-04-28 18:30:05,115,138,80,16,9,0,0,0,0,0,0,0,0,0,0,72,41
2016_Q4,2016,4,2017-02-08 22:36:26,153,205,106,38,13,0,0,0,0,0,0,0,0,0,0,99,54
2016_Q3,2016,3,2016-10-28 21:48:19,140,180,125,41,11,0,0,0,0,0,0,0,0,0,0,93,61
2016_Q2,2016,2,2016-07-29 18:56:34,162,155,107,23,13,0,0,0,0,0,0,0,0,0,0,79,48
2016_Q1,2016,1,2016-05-01 02:45:27,154,162,72,35,19,0,0,0,0,0,0,0,0,0,0,67,34
2015_Q4,2015,4,2016-02-09 22:02:11,149,174,94,14,7,0,0,0,0,0,0,2,0,0,0,63,47
2015_Q3,2015,3,2015-10-29 20:05:14,132,111,112,13,8,0,0,0,0,0,0,1,0,0,0,56,54
2015_Q2,2015,2,2015-07-30 19:24:06,89,172,80,20,9,0,0,0,0,0,0,0,0,0,0,103,39
2015_Q1,2015,1,2015-05-01 02:05:09,116,176,72,19,12,0,0,0,0,0,0,0,0,0,0,73,39
2014_Q4,2014,4,2015-02-06 06:04:07,117,276,85,9,17,0,0,0,0,0,0,0,0,0,0,128,44
2014_Q3,2014,3,2014-10-28 20:47:06,114,157,120,26,5,0,0,0,0,0,0,1,0,0,0,83,52
2014_Q2,2014,2,2014-07-31 23:20:04,111,157,124,15,15,0,0,0,0,0,0,0,0,0,0,118,43
2014_Q1,2014,1,2014-04-29 22:10:08,101,167,84,22,17,0,0,0,0,0,0,0,0,0,0,119,43
2013_Q4,2013,4,2014-02-06 20:03:21,149,245,169,27,20,0,0,0,0,0,0,0,0,0,0,146,91
2013_Q3,2013,3,2013-10-30 19:31:11,98,99,76,6,2,0,0,0,0,0,0,0,0,0,0,73,37
2013_Q2,2013,2,2013-08-01 20:51:11,172,187,143,15,4,0,0,0,0,0,0,0,0,0,0,119,80
2013_Q-1,2013,-1,2013-03-14 00:31:03,30,41,23,2,4,0,0,0,0,0,0,0,0,0,0,33,13
2013_Q1,2013,1,2013-05-02 19:31:15,126,140,117,9,8,0,0,0,0,0,0,0,0,0,0,113,60
2012_Q4,2012,4,2013-02-08 00:11:13,210,260,196,12,15,0,0,0,0,0,0,0,0,0,0,210,89
2012_Q3,2012,3,2012-10-25 21:21:39,109,167,117,14,9,0,0,0,0,0,0,0,0,0,0,144,69
2012_Q2,2012,2,2012-07-26 20:41:09,137,172,120,12,9,0,0,0,0,0,0,0,0,0,0,132,62
2012_Q1,2012,1,2012-04-27 21:46:20,132,179,123,22,5,0,0,0,0,0,0,0,0,0,0,79,62
2012_Q-1,2012,-1,2012-03-11 17:37:07,29,62,31,1,1,0,0,0,0,0,0,0,0,0,0,29,5
2011_Q-1,2011,-1,2012-03-16 15:57:08,31,43,23,2,4,0,0,0,0,0,0,0,0,0,0,42,2
2011_Q4,2011,4,2012-02-08 23:49:08,168,260,128,17,10,0,0,0,0,0,0,0,0,0,0,167,50
2011_Q3,2011,3,2011-11-05 15:32:59,132,168,146,29,19,0,1,0,0,0,0,0,0,0,0,101,79
2011_Q2,2011,2,2011-07-29 03:24:34,125,179,82,25,11,0,0,0,0,0,0,0,0,0,0,132,42
2011_Q1,2011,1,2011-04-28 23:59:33,103,173,111,11,11,0,0,0,0,0,0,0,0,0,0,70,63
2010_Q4,2010,4,2011-02-10 01:17:26,194,272,177,14,19,0,0,0,0,0,0,0,0,0,0,153,83
2009_Q4,2009,4,2010-02-11 19:12:12,176,308,200,25,27,0,0,0,0,0,0,0,0,0,0,228,92
