ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q3,2020,3,2020-10-22 18:33:18,86,220,79,2,9,0,0,0,0,0,0,0,0,0,0,45,44
2020_Q2,2020,2,2020-07-23 16:51:51,101,169,61,10,12,0,0,0,0,0,0,0,0,0,0,40,34
2020_Q-1,2020,-1,2020-01-09 00:18:08,18,146,48,3,3,0,0,0,0,0,0,0,0,0,0,69,32
2020_Q0,2020,0,2020-05-28 18:36:09,19,54,33,2,6,0,0,0,0,0,0,0,0,0,0,29,14
2020_Q1,2020,1,2020-04-22 19:45:31,127,130,80,5,21,0,0,0,0,0,0,0,0,0,0,62,43
2019_Q4,2019,4,2020-01-29 16:51:06,52,201,74,5,6,0,0,0,0,0,0,0,0,0,0,96,46
2019_Q-1,2019,-1,2019-01-09 20:26:07,15,127,48,3,9,0,0,0,0,0,0,0,0,0,0,42,30
2019_Q3,2019,3,2019-10-28 19:54:06,52,199,59,3,16,0,0,0,0,0,0,0,0,0,0,120,30
2019_Q0,2019,0,2019-09-17 19:21:11,46,84,67,12,10,0,0,0,0,0,0,0,0,0,0,43,34
2019_Q2,2019,2,2019-07-24 18:55:06,51,155,54,5,6,0,0,0,0,0,0,0,0,0,0,46,29
2019_Q1,2019,1,2019-04-24 19:30:09,70,188,64,5,7,0,0,0,0,0,0,0,0,0,0,76,46
2018_Q4,2018,4,2019-01-30 20:05:06,82,201,51,6,10,0,0,0,0,0,0,0,0,0,0,92,35
2018_Q-1,2018,-1,2018-03-06 19:13:04,24,159,49,5,4,0,0,0,0,0,0,0,0,0,0,81,31
2018_Q3,2018,3,2018-10-24 17:01:47,55,169,45,4,6,0,0,0,0,0,0,0,0,0,0,56,29
