ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2020-12-03 21:48:07,100,135,64,10,20,0,0,0,0,0,0,0,0,0,0,35,33
2020_Q3,2020,3,2020-08-27 20:53:18,134,120,88,9,20,0,0,0,0,0,0,0,0,0,0,48,47
2020_Q2,2020,2,2020-05-29 01:56:08,186,106,132,19,24,0,0,0,0,0,0,0,0,0,0,73,70
2020_Q1,2020,1,2020-02-28 01:39:09,98,111,62,7,17,0,0,0,0,0,0,0,0,0,0,33,33
2019_Q4,2019,4,2019-12-05 23:52:24,96,108,73,2,12,0,0,0,0,0,0,0,0,0,0,43,22
2019_Q-1,2019,-1,2019-09-10 20:19:09,51,108,46,7,2,0,0,0,0,0,0,0,0,0,0,23,19
2019_Q3,2019,3,2019-08-29 22:21:10,100,124,65,2,23,0,0,0,0,0,0,0,0,0,0,44,36
2019_Q2,2019,2,2019-05-24 00:13:10,96,116,71,12,18,0,0,0,0,0,0,0,0,0,0,42,33
2019_Q1,2019,1,2019-03-01 00:10:11,119,117,87,10,20,0,0,0,0,0,0,0,0,0,0,43,41
2018_Q4,2018,4,2018-11-30 01:02:21,81,121,76,12,19,0,0,0,0,0,0,0,0,0,0,60,34
2018_Q-1,2018,-1,2018-09-12 22:56:53,44,63,46,13,5,0,0,0,0,0,0,0,0,0,0,16,25
2018_Q3,2018,3,2018-08-30 23:54:07,79,167,65,7,13,0,0,0,0,0,0,0,0,0,0,34,33
2018_Q2,2018,2,2018-05-24 23:03:08,79,157,65,17,22,0,0,0,0,0,0,0,0,0,0,41,34
2018_Q1,2018,1,2018-03-01 22:52:07,116,154,112,13,21,0,0,0,0,0,0,0,0,0,0,66,53
2017_Q4,2017,4,2017-12-01 00:35:05,67,156,114,14,13,0,0,0,0,0,0,1,0,1,0,33,63
2017_Q3,2017,3,2017-08-31 21:24:30,64,162,77,10,6,0,0,0,0,0,0,0,0,0,0,22,44
2017_Q2,2017,2,2017-05-25 23:22:09,88,152,52,5,15,0,0,0,0,0,0,0,0,0,0,37,25
2017_Q1,2017,1,2017-03-03 02:07:08,82,169,75,9,9,0,0,0,0,0,0,0,0,0,0,55,44
2016_Q4,2016,4,2016-12-02 01:06:08,61,138,75,11,12,0,0,0,0,0,0,0,0,0,0,34,32
2016_Q3,2016,3,2016-08-25 23:36:30,99,132,69,15,15,0,0,0,0,0,0,0,0,0,0,47,35
2016_Q2,2016,2,2016-05-26 23:02:42,126,130,77,11,19,0,0,0,0,0,0,0,0,0,0,30,26
2016_Q1,2016,1,2016-02-26 02:12:12,128,116,73,5,12,0,0,0,0,0,0,0,0,0,0,32,28
2015_Q4,2015,4,2015-12-04 02:43:08,115,201,80,15,14,0,0,0,0,0,0,0,0,0,0,78,40
2015_Q3,2015,3,2015-08-28 01:46:10,132,159,82,24,12,0,0,0,0,0,0,0,0,0,0,58,36
2015_Q2,2015,2,2015-05-29 01:45:07,100,157,83,21,14,0,0,0,0,0,0,0,0,0,0,47,37
2015_Q1,2015,1,2015-02-27 02:36:11,78,164,45,11,4,1,0,0,0,0,0,0,0,0,0,51,18
2014_Q4,2014,4,2014-12-05 02:09:05,97,116,58,18,11,0,0,0,0,0,0,0,0,0,0,37,23
2014_Q3,2014,3,2014-08-29 02:14:03,117,195,90,14,7,0,0,0,0,0,0,0,0,0,0,64,36
2014_Q2,2014,2,2014-05-23 01:12:05,99,165,65,8,2,0,0,0,0,0,1,0,0,0,0,39,29
2014_Q1,2014,1,2014-02-28 01:41:07,125,189,78,11,9,0,0,0,0,0,0,0,0,0,0,77,29
2013_Q4,2013,4,2013-12-05 23:41:07,116,168,59,16,4,0,0,0,0,0,0,0,0,0,0,64,30
2013_Q-1,2013,-1,2013-03-07 00:21:06,44,87,78,22,11,0,0,0,0,0,0,0,0,0,0,33,34
2013_Q3,2013,3,2013-07-31 01:41:09,136,48,78,55,5,0,0,0,0,0,0,0,0,0,0,40,26
2013_Q2,2013,2,2013-05-24 01:41:10,106,160,110,12,10,0,0,0,0,0,0,0,1,0,0,67,37
2013_Q0,2013,0,2013-04-04 18:51:07,163,291,124,20,21,0,0,0,0,0,0,0,0,0,0,119,60
2013_Q1,2013,1,2013-03-01 01:31:05,109,173,95,8,8,0,0,0,0,0,0,0,0,0,0,68,29
2012_Q4,2012,4,2012-12-07 00:40:06,127,153,63,22,21,0,0,0,0,0,0,0,0,0,0,80,24
2012_Q3,2012,3,2012-08-31 00:35:04,96,93,61,20,13,0,0,0,0,0,0,0,0,0,0,49,24
2008_Q3,2008,3,2008-08-29 01:23:12,101,111,80,3,13,0,0,0,0,0,0,0,0,0,0,45,32
2007_Q4,2007,4,2007-11-30 21:37:07,116,136,102,6,15,1,0,0,0,0,0,0,0,0,0,38,36
2007_Q3,2007,3,2007-08-24 11:46:48,126,193,122,2,14,1,0,0,0,0,0,0,0,0,0,64,33
