ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-03-02 21:44:09,122,397,122,6,27,0,0,0,0,0,0,0,0,0,0,78,71
2020_Q3,2020,3,2020-11-18 18:46:16,83,184,70,0,7,0,0,0,0,0,0,0,0,0,0,87,39
2020_Q2,2020,2,2020-08-19 17:58:10,96,205,107,5,11,0,0,0,0,0,0,0,0,0,0,95,45
2020_Q1,2020,1,2020-05-20 19:01:55,147,196,102,2,17,0,0,0,0,0,0,0,0,0,0,53,52
2019_Q4,2019,4,2020-03-04 00:42:12,106,329,127,6,12,0,0,0,0,0,0,0,0,0,0,97,83
2019_Q3,2019,3,2019-11-20 18:07:40,38,249,57,0,6,0,0,0,0,0,0,0,0,0,0,65,39
2019_Q2,2019,2,2019-08-21 17:07:37,71,247,61,4,11,1,0,0,0,0,0,0,0,0,0,65,32
2019_Q1,2019,1,2019-05-22 17:07:10,57,240,51,1,2,0,0,0,0,0,0,0,0,0,0,49,33
2018_Q4,2018,4,2019-03-06 01:17:23,59,345,71,2,21,0,0,0,0,0,0,0,0,0,0,133,47
2018_Q3,2018,3,2018-11-20 19:15:08,38,254,63,3,6,0,0,0,0,0,0,0,0,0,0,82,39
2018_Q2,2018,2,2018-08-22 18:23:09,61,259,54,2,5,0,0,0,0,0,0,0,0,0,0,51,33
2018_Q1,2018,1,2018-05-23 18:12:10,50,254,49,3,10,0,0,0,0,0,0,0,0,0,0,55,27
2017_Q4,2017,4,2018-03-07 03:18:10,68,234,66,2,15,0,0,0,0,0,0,0,0,0,0,115,53
2017_Q3,2017,3,2017-11-15 19:02:56,51,231,44,0,17,0,0,0,0,0,0,0,0,0,0,84,27
2017_Q2,2017,2,2017-08-16 19:44:10,61,277,42,1,6,0,0,0,0,0,0,0,0,0,0,81,26
2017_Q1,2017,1,2017-05-17 17:50:10,67,227,47,0,12,0,0,0,0,0,0,0,0,0,0,71,21
2016_Q4,2016,4,2017-03-03 18:46:33,104,350,73,9,21,0,0,0,0,0,0,0,0,0,0,147,50
2016_Q3,2016,3,2016-11-16 19:52:07,70,330,37,0,7,0,0,0,0,0,0,1,0,0,0,62,19
2016_Q2,2016,2,2016-08-17 17:34:32,87,245,37,2,4,0,0,0,0,0,0,0,0,0,0,59,14
2016_Q1,2016,1,2016-05-18 22:50:23,104,215,64,1,7,0,0,0,0,0,0,0,0,0,0,54,26
2015_Q4,2015,4,2016-02-24 19:16:14,47,175,38,3,8,0,0,0,0,0,0,0,0,0,0,71,12
2015_Q3,2015,3,2015-11-18 19:59:15,54,214,47,6,6,0,0,0,0,0,0,0,0,0,0,58,26
2015_Q2,2015,2,2015-08-19 18:13:13,60,232,42,6,9,0,0,0,0,0,0,0,0,0,0,72,18
2015_Q1,2015,1,2015-05-20 19:34:07,63,221,55,3,17,0,0,0,0,0,0,0,0,0,0,73,29
2015_Q-1,2015,-1,2015-03-04 19:11:11,52,105,54,8,2,0,0,0,0,0,0,0,0,0,0,56,28
2014_Q4,2014,4,2015-02-25 21:49:10,61,220,42,8,8,0,0,0,0,0,0,0,0,0,0,61,25
2014_Q3,2014,3,2014-11-19 22:24:04,56,206,49,12,4,0,0,0,0,0,0,0,0,0,0,100,25
2014_Q2,2014,2,2014-08-20 21:36:09,69,232,55,21,8,0,0,0,0,0,0,0,0,0,0,74,25
2014_Q1,2014,1,2014-05-21 20:55:08,99,229,60,23,13,0,0,0,0,0,0,0,0,0,0,84,31
2013_Q4,2013,4,2014-02-26 19:31:22,127,235,65,45,9,0,0,0,0,0,0,0,0,0,0,69,23
2013_Q-1,2013,-1,2013-05-31 01:30:05,36,143,40,5,9,0,0,0,0,0,0,0,0,0,0,47,20
2013_Q2,2013,2,2013-08-21 16:59:04,48,201,66,1,11,0,0,0,0,0,0,0,0,0,0,71,34
2013_Q1,2013,1,2013-05-22 17:35:04,83,181,64,4,8,0,0,0,0,0,0,0,0,0,0,55,23
2012_Q4,2012,4,2013-02-27 18:50:07,67,180,67,1,12,0,0,0,0,0,0,0,0,0,0,75,27
2012_Q3,2012,3,2012-11-15 19:31:11,57,181,60,1,6,0,0,0,0,0,0,0,0,0,0,82,26
2012_Q2,2012,2,2012-08-15 18:21:10,58,227,68,1,11,0,0,0,0,0,0,0,0,0,0,92,24
2012_Q-1,2012,-1,2012-02-02 21:41:11,2,9,8,1,2,0,0,0,0,0,0,0,0,0,0,1,2
2012_Q1,2012,1,2012-05-16 18:51:11,77,207,79,2,12,0,0,0,0,0,0,0,1,0,0,80,30
2011_Q4,2011,4,2011-02-24 20:21:32,79,207,101,0,9,0,0,0,0,0,0,0,0,0,0,110,50
2011_Q-1,2011,-1,2011-08-04 11:01:03,3,8,9,1,0,0,0,0,0,0,0,0,0,0,0,1,2
2011_Q3,2011,3,2011-11-16 19:21:11,85,216,75,2,8,0,0,0,0,0,0,0,0,0,0,81,41
2011_Q2,2011,2,2011-08-17 18:31:13,89,199,77,2,8,0,0,0,0,0,0,0,0,0,0,79,31
2011_Q1,2011,1,2011-05-18 20:11:46,80,208,87,2,10,0,0,0,0,0,0,0,0,0,0,53,36
2010_Q3,2010,3,2010-11-17 22:03:29,80,210,85,5,8,0,0,0,0,0,0,0,0,0,0,75,47
2010_Q1,2010,1,2010-05-19 18:27:12,110,172,94,13,12,0,0,0,0,0,0,0,0,0,0,60,38
2009_Q4,2009,4,2010-02-23 18:10:12,85,232,91,11,12,0,0,0,0,0,0,0,0,0,0,95,38
2009_Q3,2009,3,2009-11-17 19:31:23,97,209,88,4,16,0,0,0,0,0,0,0,0,0,0,61,44
2009_Q2,2009,2,2009-08-18 18:52:07,106,192,61,4,11,0,0,0,0,0,0,0,0,0,0,46,30
2009_Q1,2009,1,2009-05-20 21:49:22,132,221,108,5,15,0,0,0,0,0,0,0,0,0,0,59,41
2008_Q4,2008,4,2009-02-24 20:51:36,121,148,118,5,16,0,0,0,0,0,0,0,0,0,0,63,54
2008_Q3,2008,3,2008-11-17 22:37:18,161,142,107,1,15,0,0,0,0,0,0,0,0,0,0,91,44
2008_Q2,2008,2,2008-08-19 20:43:21,119,201,77,1,10,0,0,0,0,0,0,0,0,0,0,81,33
2008_Q1,2008,1,2008-05-20 22:47:12,114,192,69,0,10,0,0,0,0,0,0,0,0,0,0,55,31
