ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-02-01 18:10:10,45,218,82,3,5,0,0,0,0,0,0,0,0,0,0,67,26
2020_Q3,2020,3,2020-10-21 16:02:22,40,199,73,2,7,0,0,0,0,0,0,0,0,0,0,69,32
2020_Q2,2020,2,2020-07-22 18:19:07,88,153,95,11,5,0,0,0,0,0,0,0,0,0,0,65,37
2020_Q1,2020,1,2020-04-22 18:19:10,96,135,86,9,11,0,0,0,0,0,0,0,1,0,0,65,30
2019_Q4,2019,4,2020-01-30 18:45:12,69,211,78,6,4,0,0,0,0,0,0,0,0,0,0,51,25
2019_Q3,2019,3,2019-10-23 19:59:10,81,253,69,3,4,0,0,0,0,0,0,0,0,0,0,44,25
2019_Q2,2019,2,2019-07-24 19:20:40,83,194,74,4,3,0,0,0,0,0,0,0,0,0,0,25,33
2019_Q1,2019,1,2019-04-24 17:17:03,71,217,66,11,7,0,0,0,0,0,0,0,0,0,0,46,23
2019_Q-1,2019,-1,2019-03-13 18:45:23,31,103,26,1,2,0,0,0,0,0,0,0,0,0,0,20,18
2018_Q4,2018,4,2019-01-30 20:28:11,53,255,97,2,7,0,0,0,0,0,0,1,0,0,0,57,31
2018_Q3,2018,3,2018-10-24 17:46:17,50,303,69,3,5,0,0,0,0,0,0,0,0,0,0,51,30
2018_Q2,2018,2,2018-07-25 16:48:12,37,271,61,1,11,0,0,0,0,0,0,0,0,0,0,50,27
2018_Q1,2018,1,2018-04-25 16:40:14,55,239,63,2,5,0,0,0,0,0,0,0,0,0,0,32,24
2017_Q4,2017,4,2018-01-31 17:36:11,54,237,75,13,8,0,0,0,0,0,0,0,0,0,0,35,28
2017_Q3,2017,3,2017-10-25 16:18:45,61,243,62,5,7,0,0,0,0,0,0,0,0,0,0,41,26
2017_Q2,2017,2,2017-07-26 16:46:24,63,229,61,5,2,0,0,0,0,0,0,0,0,0,0,59,29
2017_Q-1,2017,-1,2017-05-16 22:12:07,33,146,54,16,15,0,0,0,0,0,0,0,0,0,0,79,21
2017_Q1,2017,1,2017-04-26 17:50:05,51,214,49,6,4,0,0,0,0,0,0,0,0,0,0,45,22
2016_Q4,2016,4,2017-01-31 18:32:17,41,227,92,1,3,0,0,0,0,0,0,0,0,0,0,47,32
2016_Q3,2016,3,2016-10-27 20:02:28,68,222,68,1,4,0,0,0,0,0,0,0,0,0,0,49,35
2016_Q2,2016,2,2016-07-28 17:18:43,62,227,76,1,7,0,0,0,0,0,0,0,0,0,0,33,37
2016_Q-1,2016,-1,2016-05-27 16:13:37,48,146,66,4,10,0,0,0,0,0,0,0,0,0,0,61,34
2016_Q1,2016,1,2016-04-28 17:58:20,67,247,63,10,5,0,0,0,0,0,0,0,0,0,0,61,34
2015_Q4,2015,4,2016-01-28 18:20:09,74,250,73,4,8,0,0,0,0,0,0,0,0,0,0,65,24
2015_Q3,2015,3,2015-10-21 16:20:07,67,230,74,5,3,0,0,0,0,0,0,0,0,0,0,56,43
2015_Q2,2015,2,2015-07-22 17:40:07,67,227,92,4,8,0,0,0,0,0,0,0,0,0,0,53,50
2015_Q1,2015,1,2015-04-22 18:31:19,94,189,72,3,10,0,0,0,0,0,0,0,0,0,0,52,37
2014_Q4,2014,4,2015-01-29 19:33:04,69,230,72,1,6,0,0,0,0,0,0,0,0,0,0,53,36
2014_Q3,2014,3,2014-10-22 19:39:11,79,222,69,1,4,0,0,0,0,0,0,0,0,0,0,47,31
2014_Q2,2014,2,2014-07-23 18:47:09,84,205,71,3,5,0,0,0,0,0,0,0,0,0,0,29,37
2014_Q1,2014,1,2014-04-23 16:27:07,78,224,65,1,4,0,0,0,0,0,0,0,0,0,0,28,30
2013_Q4,2013,4,2014-01-30 18:11:16,103,266,104,10,6,0,0,0,0,0,0,0,0,0,0,91,40
2013_Q3,2013,3,2013-10-23 17:01:19,77,196,70,4,5,0,0,0,0,0,0,0,0,0,0,54,34
2013_Q-1,2013,-1,2013-04-16 05:41:06,63,188,95,5,16,0,0,0,0,0,0,0,0,0,0,75,53
2013_Q2,2013,2,2013-07-24 17:02:30,84,191,76,5,9,0,0,0,0,0,0,0,0,0,0,57,34
2013_Q0,2013,0,2013-05-22 18:41:12,23,47,14,5,3,0,0,0,0,0,0,0,0,0,0,33,8
2013_Q1,2013,1,2013-04-24 17:21:10,94,168,43,3,7,0,0,0,0,0,0,0,0,0,0,50,18
2012_Q4,2012,4,2013-01-31 17:11:23,73,229,86,3,7,0,0,0,0,0,0,0,0,0,0,55,40
2012_Q3,2012,3,2012-10-24 16:41:07,83,201,67,2,6,0,0,0,0,0,0,0,0,0,0,49,32
2012_Q2,2012,2,2012-07-25 16:31:12,94,170,75,5,8,0,0,0,0,0,0,0,0,0,0,59,36
2012_Q-1,2012,-1,2012-01-10 23:01:03,27,118,9,3,2,1,0,0,0,0,0,0,0,0,0,27,2
2012_Q1,2012,1,2012-04-25 17:21:12,73,211,84,3,6,0,0,0,0,0,0,0,0,0,0,48,46
2011_Q4,2011,4,2012-02-01 18:41:09,82,191,73,1,5,0,0,0,0,0,0,0,0,0,0,35,31
2011_Q3,2011,3,2011-10-26 18:01:12,89,197,79,1,7,0,0,0,0,0,0,0,0,0,0,39,37
2011_Q2,2011,2,2011-07-27 16:41:12,63,156,57,5,8,0,0,0,0,0,0,0,0,0,0,27,28
2011_Q1,2011,1,2011-04-27 19:21:26,83,197,76,2,5,0,0,0,0,0,0,0,0,0,0,53,42
2010_Q4,2010,4,2011-02-02 19:31:20,58,207,63,6,8,0,0,0,0,0,0,0,0,0,0,64,32
2010_Q3,2010,3,2010-10-27 20:06:26,61,210,81,13,12,0,0,0,0,0,0,0,0,0,0,53,40
2010_Q2,2010,2,2010-07-27 19:06:35,88,171,76,10,6,0,0,0,0,0,0,0,0,0,0,43,28
2010_Q1,2010,1,2010-04-30 22:30:12,84,181,52,8,5,0,0,0,0,0,0,0,0,0,0,24,29
2009_Q4,2009,4,2010-02-03 20:43:11,92,229,85,11,9,0,0,0,0,0,0,0,0,0,0,55,37
2009_Q3,2009,3,2009-10-22 18:29:12,100,208,75,5,5,0,0,0,0,0,0,0,0,0,0,43,33
2009_Q2,2009,2,2009-07-23 18:19:26,117,161,94,2,4,0,0,0,0,0,0,0,0,0,0,46,37
