ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-02-05 03:33:15,73,203,72,6,15,0,0,0,0,0,0,0,0,0,0,67,38
2020_Q3,2020,3,2020-11-06 05:12:09,83,257,55,7,2,0,0,0,0,0,0,0,0,0,0,65,35
2020_Q2,2020,2,2020-08-07 06:22:07,80,237,61,7,11,0,0,0,0,0,0,0,0,0,0,65,41
2020_Q1,2020,1,2020-05-07 02:07:17,128,176,96,8,19,0,0,0,0,0,0,0,0,0,0,75,52
2019_Q4,2019,4,2020-02-07 05:58:10,98,167,71,12,4,0,0,0,0,0,0,0,0,0,0,72,39
2019_Q3,2019,3,2019-10-29 03:21:55,107,149,53,16,6,0,0,0,0,0,0,0,0,0,0,78,28
2019_Q0,2019,0,2019-09-17 20:18:12,54,136,36,18,8,0,0,0,0,0,0,0,0,0,0,40,19
2019_Q2,2019,2,2019-07-29 10:20:11,143,193,87,38,38,0,0,0,0,0,0,0,0,0,0,113,44
2019_Q1,2019,1,2019-04-26 03:34:11,83,167,71,13,13,0,0,0,0,0,0,0,0,0,0,45,44
2019_Q-1,2019,-1,2019-01-10 01:30:07,56,107,36,2,1,0,0,0,0,0,0,0,0,0,0,30,23
2018_Q4,2018,4,2019-02-07 19:45:08,95,243,71,13,7,0,0,0,0,0,0,0,0,0,0,77,33
2018_Q-1,2018,-1,2018-11-16 21:10:08,37,84,29,9,5,0,0,0,0,0,0,0,0,0,0,29,16
2018_Q3,2018,3,2018-10-31 03:08:28,69,166,59,9,7,0,0,0,0,0,0,0,0,0,0,69,40
2018_Q0,2018,0,2018-10-03 02:28:08,29,61,19,7,2,0,0,0,0,0,0,0,0,0,0,23,13
2018_Q2,2018,2,2018-08-02 00:55:08,81,150,62,12,1,0,0,0,0,0,0,0,0,0,0,61,33
2018_Q1,2018,1,2018-05-02 03:19:11,107,202,66,2,6,0,0,0,0,0,0,0,0,0,0,73,38
2017_Q4,2017,4,2018-02-09 17:58:09,120,201,85,7,14,0,0,0,0,0,0,0,0,0,0,136,48
2017_Q2,2017,2,2017-07-20 01:01:46,110,218,91,4,7,0,0,0,0,0,0,0,0,0,0,82,53
2017_Q1,2017,1,2017-04-25 03:31:04,98,208,101,7,3,0,0,0,0,0,0,0,0,0,0,93,65
2016_Q4,2016,4,2017-02-14 20:04:23,82,196,84,12,7,0,0,0,0,0,0,0,0,0,0,102,52
2016_Q3,2016,3,2016-10-24 23:28:18,101,224,108,8,12,0,0,0,0,0,0,0,0,0,0,106,71
2016_Q2,2016,2,2016-07-28 00:36:37,121,230,97,9,5,0,0,0,0,0,0,0,0,0,0,112,63
2016_Q1,2016,1,2016-04-26 19:59:15,127,239,93,6,11,0,0,0,0,0,0,1,1,0,0,100,50
2015_Q4,2015,4,2016-02-17 19:48:11,106,221,98,2,7,0,0,0,0,0,0,0,0,0,0,97,51
2015_Q3,2015,3,2015-10-27 22:02:17,123,244,67,7,3,0,0,0,0,0,0,0,0,0,0,105,37
2015_Q2,2015,2,2015-07-31 05:24:05,144,222,77,8,9,0,0,0,0,0,0,0,0,0,0,88,45
2015_Q1,2015,1,2015-04-28 23:57:05,120,241,78,10,3,0,0,0,0,0,0,0,0,0,0,64,42
2014_Q4,2014,4,2015-02-19 19:41:10,115,199,70,10,10,0,0,0,0,0,0,0,0,0,0,134,39
2014_Q3,2014,3,2014-10-28 20:41:10,69,167,70,4,4,0,0,0,0,0,0,0,0,0,0,72,38
2014_Q2,2014,2,2014-07-31 18:11:16,59,125,50,9,6,0,0,0,0,0,0,0,0,0,0,68,20
2014_Q1,2014,1,2014-05-01 17:31:12,94,164,83,15,8,0,0,0,0,0,0,0,0,0,0,78,38
2013_Q4,2013,4,2014-02-26 02:02:27,69,129,59,3,4,0,0,0,0,0,0,0,0,0,0,56,27
2012_Q4,2012,4,2013-02-26 18:21:09,66,118,79,22,9,0,0,0,0,0,0,0,0,0,0,74,33
2012_Q3,2012,3,2012-10-30 17:01:08,48,111,77,19,5,0,0,0,0,0,0,0,0,0,0,63,29
2012_Q2,2012,2,2012-07-26 17:11:11,49,102,80,8,5,0,0,0,0,0,0,0,0,0,0,88,40
2012_Q1,2012,1,2012-04-26 18:01:09,61,103,104,14,12,0,0,0,0,0,0,0,0,0,0,73,39
2011_Q4,2011,4,2012-02-23 18:41:14,37,112,97,11,9,0,0,0,0,0,0,0,0,0,0,88,39
2011_Q3,2011,3,2011-11-01 18:01:13,38,122,117,12,12,0,0,0,0,0,0,0,0,0,0,74,56
