ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-28 02:24:12,79,152,74,10,22,0,0,0,0,0,0,0,0,0,0,72,43
2020_Q3,2020,3,2020-10-22 03:01:06,101,161,102,5,17,0,0,0,0,0,0,0,0,0,0,71,55
2020_Q2,2020,2,2020-07-23 02:29:09,80,155,74,25,18,0,0,0,0,0,0,0,0,0,1,90,42
2020_Q1,2020,1,2020-04-30 03:21:10,105,167,70,11,9,0,0,0,0,0,0,0,0,0,0,83,40
2019_Q4,2019,4,2020-01-30 06:27:18,76,151,83,8,11,0,0,0,0,0,0,0,0,0,0,69,41
2019_Q3,2019,3,2019-10-24 04:20:08,83,170,70,10,7,0,0,0,0,0,0,0,0,0,0,72,39
2019_Q2,2019,2,2019-07-25 01:48:11,76,157,74,16,17,0,0,0,0,0,0,0,0,0,0,57,44
2019_Q1,2019,1,2019-04-25 07:31:51,103,116,83,8,17,0,0,0,0,0,0,0,0,0,0,51,46
2018_Q4,2018,4,2019-01-31 06:07:26,97,147,113,7,5,0,0,0,0,0,0,0,0,0,0,77,56
2018_Q3,2018,3,2018-10-25 06:15:08,89,186,101,2,13,0,0,0,0,0,0,0,0,0,0,84,56
2018_Q2,2018,2,2018-08-02 04:52:13,130,241,122,10,11,0,0,0,0,0,0,0,0,0,0,54,70
2018_Q1,2018,1,2018-05-03 11:10:25,122,141,108,16,8,0,0,0,0,0,0,0,0,0,0,65,68
2017_Q4,2017,4,2018-02-08 04:11:43,88,130,130,13,19,0,0,0,0,0,0,0,0,0,0,49,68
2017_Q3,2017,3,2017-11-02 06:34:44,127,105,90,8,27,0,0,0,0,0,0,0,0,0,0,58,57
2017_Q2,2017,2,2017-08-03 05:14:40,121,147,110,10,12,0,0,0,0,0,0,0,0,0,0,57,66
2017_Q0,2017,0,2017-06-07 03:24:10,57,99,75,11,10,0,0,0,0,0,0,0,0,0,0,73,43
2017_Q1,2017,1,2017-05-04 05:18:34,111,142,142,7,15,0,0,0,0,0,0,0,0,0,0,74,79
2016_Q4,2016,4,2017-02-23 08:16:43,134,130,116,19,20,0,0,0,0,0,0,0,0,0,0,67,60
2016_Q-1,2016,-1,2016-06-23 02:41:36,101,147,104,21,22,0,0,0,0,0,0,0,0,0,0,67,66
2016_Q3,2016,3,2016-10-27 06:42:29,109,154,130,13,16,0,0,0,0,0,0,0,0,0,0,58,66
2016_Q2,2016,2,2016-08-04 03:16:52,96,120,80,8,11,0,0,0,0,0,0,0,0,0,0,56,39
2016_Q1,2016,1,2016-05-05 04:16:38,124,141,107,10,22,0,0,0,0,0,0,0,0,0,0,64,46
2015_Q4,2015,4,2016-02-11 07:14:12,109,137,121,6,16,0,0,0,0,0,0,0,0,0,0,53,79
2015_Q3,2015,3,2015-11-04 06:20:08,110,109,107,5,19,0,0,0,0,0,0,0,0,0,0,47,62
2015_Q2,2015,2,2015-08-06 06:06:12,107,114,149,6,16,0,0,0,0,0,0,0,0,0,0,50,88
2015_Q0,2015,0,2015-06-10 02:45:11,90,133,107,10,10,0,0,0,0,0,0,0,0,0,0,40,59
2015_Q1,2015,1,2015-05-07 05:54:06,113,137,154,8,16,0,0,0,0,0,0,0,0,0,0,72,92
2014_Q4,2014,4,2015-02-12 07:12:13,118,148,110,3,16,0,0,0,0,0,0,0,0,0,0,60,64
2014_Q3,2014,3,2014-11-06 06:06:13,96,108,109,11,11,0,0,0,0,0,0,0,1,0,0,51,63
2014_Q2,2014,2,2014-08-01 05:23:08,84,94,119,4,14,0,0,0,0,0,0,1,0,0,0,49,64
2014_Q1,2014,1,2014-05-08 05:17:13,87,104,88,6,14,0,0,0,0,0,0,0,0,0,0,37,50
2013_Q4,2013,4,2014-02-20 03:01:10,55,82,86,4,2,0,0,0,0,0,0,0,0,0,0,50,41
2013_Q3,2013,3,2013-11-06 01:13:10,62,77,94,1,31,0,0,0,0,0,0,0,0,0,0,40,54
2013_Q2,2013,2,2013-08-08 00:44:07,86,101,103,6,20,0,0,0,0,0,0,0,0,0,0,44,60
2013_Q1,2013,1,2013-05-09 01:24:05,45,88,78,1,3,0,0,0,0,0,0,0,0,0,0,34,39
2012_Q4,2012,4,2013-02-21 01:46:17,68,107,82,7,13,0,0,0,0,0,0,1,0,0,0,26,56
2012_Q3,2012,3,2012-11-05 19:14:07,65,59,78,11,8,1,0,0,0,0,0,0,0,0,0,34,49
2012_Q2,2012,2,2012-07-26 03:25:06,85,105,140,6,21,0,0,0,0,0,0,0,0,0,0,66,83
2012_Q1,2012,1,2012-05-10 03:31:08,74,112,95,10,6,0,0,0,0,0,0,0,0,0,0,41,47
2011_Q4,2011,4,2012-02-16 05:34:04,61,65,112,9,6,0,0,0,0,0,0,0,0,0,0,52,68
2011_Q3,2011,3,2011-11-03 04:07:59,76,92,93,17,10,0,0,0,0,0,0,0,0,0,0,40,60
2011_Q2,2011,2,2011-08-04 02:55:54,69,75,69,8,11,0,0,0,0,0,0,0,0,0,0,52,43
