ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-14 14:46:41,145,149,75,8,9,0,0,0,0,0,0,0,0,0,0,103,39
2020_Q3,2020,3,2020-10-15 14:31:58,164,144,97,2,7,0,0,0,0,0,0,0,0,0,0,67,50
2020_Q2,2020,2,2020-07-16 12:32:08,173,131,84,19,10,0,0,0,0,0,0,0,0,0,0,89,36
2020_Q1,2020,1,2020-04-16 20:51:12,189,102,104,0,15,0,0,0,0,0,0,0,0,0,0,103,48
2019_Q4,2019,4,2020-01-16 18:54:06,118,112,94,8,6,0,0,0,0,0,0,0,0,0,0,105,53
2019_Q3,2019,3,2019-10-17 16:49:12,110,161,101,4,10,0,0,0,0,0,0,0,0,0,0,119,57
2019_Q2,2019,2,2019-07-18 21:38:07,123,125,101,1,6,0,0,0,0,0,0,0,0,0,1,113,42
2019_Q1,2019,1,2019-04-18 20:47:24,121,140,104,6,5,0,0,0,0,0,0,0,0,0,0,138,39
2018_Q4,2018,4,2019-01-17 23:47:17,135,130,112,2,5,0,0,0,0,0,0,0,0,0,0,151,55
2018_Q3,2018,3,2018-10-18 17:30:08,157,156,79,4,10,0,0,0,0,0,0,0,0,0,0,103,37
2018_Q2,2018,2,2018-07-19 20:57:10,123,138,67,10,11,0,0,0,0,0,0,0,0,0,0,87,27
2018_Q1,2018,1,2018-04-20 00:24:10,131,120,96,0,12,0,0,0,0,0,0,0,0,0,0,122,39
2017_Q3,2017,3,2017-10-19 21:37:07,117,128,88,2,10,0,0,0,0,0,0,0,0,0,0,141,37
2017_Q2,2017,2,2017-07-14 18:30:08,115,109,81,2,14,0,0,0,0,0,0,0,0,0,0,120,44
2017_Q1,2017,1,2017-04-13 16:47:08,128,120,90,1,9,0,0,0,0,0,0,0,0,0,0,107,41
