ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-27 01:38:14,29,82,31,2,10,0,0,0,0,0,0,0,0,0,0,52,17
2020_Q3,2020,3,2020-10-21 02:21:07,65,106,53,3,5,0,0,0,0,0,0,0,0,0,0,56,28
2020_Q2,2020,2,2020-07-22 01:26:09,52,98,61,1,3,0,0,0,0,0,0,0,0,0,0,73,25
2020_Q-1,2020,-1,2020-05-28 18:37:07,51,96,61,5,6,0,0,0,0,0,0,0,0,0,0,32,42
2020_Q1,2020,1,2020-04-22 03:36:49,103,114,87,2,11,0,0,0,0,0,0,0,0,0,0,96,51
2019_Q4,2019,4,2020-01-23 03:21:11,61,87,40,1,2,0,0,0,0,0,0,0,0,0,0,60,20
2019_Q-1,2019,-1,2019-06-05 01:47:09,36,87,74,3,5,0,0,0,0,0,0,0,0,0,0,32,37
2019_Q0,2019,0,2019-05-15 20:52:10,38,99,60,0,7,0,0,0,0,0,0,1,0,0,0,33,24
2019_Q3,2019,3,2019-10-23 00:07:10,82,72,43,0,4,0,0,0,0,0,0,0,0,0,0,54,23
2019_Q2,2019,2,2019-07-24 02:24:11,57,85,42,3,5,0,0,0,0,0,0,0,0,0,0,54,16
2019_Q1,2019,1,2019-04-24 00:02:21,56,68,38,0,7,0,0,0,0,0,0,0,0,0,0,62,20
2018_Q4,2018,4,2019-01-24 02:51:11,81,72,68,2,8,0,0,0,0,0,0,1,0,0,0,64,33
2018_Q-1,2018,-1,2018-11-27 20:43:20,51,47,46,2,4,0,0,0,0,0,0,0,0,0,0,28,27
2018_Q3,2018,3,2018-10-24 01:55:10,62,74,39,0,7,0,0,0,0,0,0,0,0,0,0,50,21
2018_Q2,2018,2,2018-07-25 00:01:09,43,95,38,0,2,0,0,0,0,0,0,0,0,0,0,37,22
2018_Q1,2018,1,2018-04-25 00:41:48,42,87,53,3,3,0,0,0,0,0,0,0,1,0,0,71,27
2017_Q4,2017,4,2018-01-24 03:09:34,46,116,74,4,12,0,0,0,0,0,0,0,0,0,0,65,32
2017_Q3,2017,3,2017-10-25 00:10:38,27,86,39,1,6,0,0,0,0,0,0,0,0,0,0,39,17
2017_Q2,2017,2,2017-07-26 01:06:49,25,98,55,0,5,0,0,0,0,0,0,0,0,0,0,49,30
2017_Q1,2017,1,2017-04-26 06:26:37,49,113,71,0,8,0,0,0,0,0,0,0,0,0,0,68,35
2016_Q4,2016,4,2017-01-25 01:35:07,47,115,54,2,12,0,0,0,0,0,0,0,0,0,0,58,20
2016_Q3,2016,3,2016-10-27 02:51:20,53,120,73,1,5,0,0,0,0,0,0,0,0,0,0,47,28
2016_Q2,2016,2,2016-07-26 02:20:34,64,105,82,0,7,0,0,0,0,0,0,0,0,0,0,87,38
2016_Q1,2016,1,2016-04-28 04:27:16,72,98,52,1,4,0,0,0,0,0,0,0,0,0,0,84,22
2015_Q4,2015,4,2016-01-28 04:20:08,85,98,60,3,3,0,0,0,0,0,0,0,0,0,0,86,24
2015_Q3,2015,3,2015-10-22 01:00:08,75,89,79,2,4,0,0,0,0,0,0,0,0,0,0,66,21
2015_Q-1,2015,-1,2015-09-18 04:14:08,32,64,59,2,5,0,0,0,0,0,0,0,0,0,0,38,35
2015_Q2,2015,2,2015-07-23 00:54:11,101,78,102,2,6,0,0,0,0,0,0,0,0,0,0,76,42
2015_Q1,2015,1,2015-04-23 01:30:11,97,71,68,1,5,0,0,0,0,0,0,0,0,0,0,53,27
2014_Q4,2014,4,2015-01-27 04:33:09,50,125,87,4,5,0,0,0,0,0,0,0,0,0,0,64,48
2014_Q3,2014,3,2014-10-21 03:37:06,96,119,86,4,7,0,0,0,0,0,0,0,0,0,0,79,45
2014_Q2,2014,2,2014-07-22 04:26:07,102,140,108,4,7,0,0,0,0,0,0,0,0,0,0,96,59
2014_Q1,2014,1,2014-04-24 04:24:09,96,111,88,2,4,0,0,0,0,0,0,0,0,0,0,64,43
2013_Q4,2013,4,2013-12-10 00:21:07,36,39,50,0,5,0,0,0,0,0,0,1,0,0,0,56,26
