ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-20 20:34:07,84,157,62,5,6,0,0,0,0,0,0,0,0,0,0,38,25
2020_Q3,2020,3,2020-10-14 19:57:01,96,185,96,12,9,0,0,0,0,0,0,0,0,0,0,49,59
2020_Q2,2020,2,2020-07-15 17:23:07,118,161,87,4,6,0,0,0,0,0,0,0,0,0,0,34,46
2020_Q1,2020,1,2020-04-15 19:03:38,130,121,103,7,15,0,0,0,0,0,0,0,1,0,0,63,54
2019_Q4,2019,4,2020-01-15 20:57:21,74,234,73,9,6,0,0,0,0,0,0,0,0,0,0,73,31
2019_Q3,2019,3,2019-10-15 19:35:10,93,249,86,7,10,0,0,0,0,0,0,0,0,0,0,55,56
2019_Q2,2019,2,2019-07-18 19:08:09,99,231,64,14,9,0,0,0,0,0,0,0,0,0,0,55,37
2019_Q1,2019,1,2019-04-16 18:59:07,104,279,117,12,15,0,0,0,0,0,1,0,0,0,0,81,63
2018_Q4,2018,4,2019-01-15 19:38:20,80,226,88,16,5,0,0,0,0,0,0,0,0,0,0,37,53
2018_Q3,2018,3,2018-10-16 21:26:10,90,258,82,7,10,0,0,0,0,0,0,0,0,0,0,41,44
2018_Q2,2018,2,2018-07-17 19:47:09,94,259,81,8,7,0,0,0,0,0,0,0,0,0,0,58,53
2018_Q1,2018,1,2018-04-17 18:18:10,64,310,79,12,8,0,0,0,0,0,0,0,0,0,0,78,46
2017_Q4,2017,4,2018-01-16 19:03:30,68,236,93,9,8,0,0,0,0,0,0,0,0,0,0,59,59
2017_Q3,2017,3,2017-10-17 18:43:10,83,273,88,20,5,0,0,0,0,0,0,0,0,0,0,75,52
2017_Q2,2017,2,2017-07-18 18:37:09,70,275,79,8,10,0,0,0,0,0,0,0,0,0,0,54,46
