ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-21 20:19:09,163,388,98,6,19,0,0,0,0,0,0,0,0,0,0,57,53
2020_Q0,2020,0,2020-05-30 00:16:51,70,128,58,2,14,0,0,0,0,0,0,0,0,0,0,41,33
2020_Q3,2020,3,2020-10-22 21:30:06,144,430,90,10,13,0,0,0,0,0,0,0,0,0,0,90,62
2020_Q2,2020,2,2020-07-23 19:38:15,169,272,65,2,8,0,0,0,0,0,0,0,0,0,0,79,36
2020_Q1,2020,1,2020-04-23 17:23:08,197,326,122,8,15,0,0,0,0,0,0,0,0,0,0,85,62
2019_Q4,2019,4,2020-01-23 22:27:17,166,337,107,11,8,0,0,0,0,0,1,0,0,0,0,70,63
2019_Q0,2019,0,2019-12-04 19:37:31,59,175,74,5,7,0,0,0,0,0,0,0,0,0,0,59,47
2019_Q3,2019,3,2019-10-17 20:49:14,159,313,100,25,12,0,0,0,0,0,0,0,0,0,0,98,60
2019_Q2,2019,2,2019-07-18 18:43:11,130,292,85,6,8,0,0,0,0,0,0,0,0,0,0,95,58
2019_Q1,2019,1,2019-04-18 21:18:10,155,281,100,10,11,0,0,0,0,0,0,0,0,0,0,88,61
2018_Q4,2018,4,2019-01-24 23:34:10,143,337,130,16,5,0,0,0,0,0,0,0,0,0,0,102,84
2018_Q3,2018,3,2018-10-25 20:46:12,149,301,124,6,18,0,0,0,0,0,0,0,0,0,0,136,68
2018_Q2,2018,2,2018-07-19 21:13:09,163,247,87,14,5,0,0,0,0,0,1,0,0,0,0,71,50
2018_Q1,2018,1,2018-04-26 17:14:15,117,239,82,6,7,0,0,0,0,0,0,0,0,0,0,68,41
2017_Q4,2017,4,2018-01-25 22:19:06,153,236,134,22,16,0,0,0,0,0,0,0,0,0,0,119,65
2017_Q3,2017,3,2017-10-26 19:32:00,134,222,111,16,10,0,0,0,0,0,0,0,0,0,0,80,72
2017_Q2,2017,2,2017-07-20 20:42:09,123,247,123,17,17,0,0,0,0,0,0,0,0,0,0,89,91
2017_Q1,2017,1,2017-04-27 17:14:19,151,228,98,12,22,0,0,0,0,0,0,0,0,0,0,73,60
2016_Q4,2016,4,2017-01-19 22:22:10,140,265,119,11,16,0,0,0,0,0,0,0,0,0,0,105,65
2016_Q3,2016,3,2016-10-20 20:47:07,174,291,91,12,11,0,0,0,0,0,0,0,0,0,0,79,46
2016_Q2,2016,2,2016-07-21 21:59:07,207,244,121,10,26,0,0,0,0,0,0,0,1,0,0,83,74
2016_Q1,2016,1,2016-04-21 18:32:31,191,208,85,8,9,0,0,0,0,0,0,0,0,0,0,70,41
2015_Q4,2015,4,2016-01-21 20:14:09,193,244,97,13,15,0,0,0,0,0,0,0,0,0,0,82,52
2015_Q3,2015,3,2015-10-22 19:25:11,195,281,124,13,19,0,0,0,0,0,0,1,0,0,0,92,66
2015_Q0,2015,0,2015-09-17 22:49:13,54,118,86,5,5,0,0,0,0,0,0,0,0,0,0,52,59
2015_Q2,2015,2,2015-07-23 23:27:14,241,289,129,23,18,0,0,0,0,0,0,0,1,0,0,113,77
2015_Q1,2015,1,2015-04-23 23:36:09,198,237,130,16,17,0,0,0,0,0,0,0,0,0,0,89,69
2014_Q4,2014,4,2015-01-23 01:12:15,146,268,140,28,14,0,0,0,0,0,0,0,0,0,0,65,66
2014_Q3,2014,3,2014-10-23 17:21:14,137,255,129,10,12,0,0,0,0,0,0,0,0,0,0,57,71
2014_Q2,2014,2,2014-07-24 20:02:09,128,292,110,4,19,0,0,0,0,0,0,0,0,0,0,61,68
2014_Q1,2014,1,2014-04-18 05:32:10,175,293,115,25,32,0,0,0,0,0,0,0,0,0,0,83,62
2013_Q4,2013,4,2014-01-23 18:11:11,128,278,115,15,24,0,0,0,0,0,0,0,0,0,0,104,70
2013_Q-1,2013,-1,2013-02-20 21:51:20,60,153,62,8,11,0,0,0,0,0,0,0,0,0,0,57,33
2013_Q3,2013,3,2013-10-17 17:41:10,149,287,99,17,17,0,0,0,0,0,0,0,0,0,0,98,51
2013_Q2,2013,2,2013-07-18 18:21:10,145,222,101,12,18,0,0,0,0,0,1,0,1,0,0,70,66
2013_Q1,2013,1,2013-04-18 23:51:08,175,231,123,18,26,0,0,0,0,0,0,0,0,0,0,75,63
2012_Q4,2012,4,2013-01-24 21:01:54,176,262,119,31,15,0,0,0,0,0,1,0,0,0,0,96,71
2012_Q3,2012,3,2012-10-18 19:01:54,170,213,111,26,18,0,0,0,0,0,0,0,0,0,0,67,66
2012_Q2,2012,2,2012-07-19 19:31:09,145,237,106,10,18,0,0,0,0,0,0,0,0,0,0,62,50
2012_Q1,2012,1,2012-04-19 19:11:30,150,273,112,24,29,0,0,0,0,0,0,0,0,0,0,62,63
2011_Q4,2011,4,2012-01-19 18:41:14,139,249,100,15,18,0,0,0,0,0,0,0,0,0,0,84,56
2011_Q3,2011,3,2011-10-20 19:11:21,152,234,78,20,24,0,0,0,0,0,0,0,0,0,0,42,41
2011_Q2,2011,2,2011-07-21 20:31:50,155,263,149,14,41,0,0,0,0,0,0,0,0,0,0,94,62
2011_Q1,2011,1,2011-04-21 01:31:22,127,261,100,8,17,0,0,0,0,0,0,0,0,0,0,73,50
2010_Q4,2010,4,2011-01-21 16:40:31,120,289,112,19,10,0,0,0,0,0,0,0,0,0,0,70,61
2010_Q3,2010,3,2010-10-21 18:46:36,132,247,90,18,19,0,0,0,0,0,0,0,0,0,0,54,49
2010_Q2,2010,2,2010-07-23 09:06:28,122,256,117,16,13,0,0,0,0,0,0,0,0,0,0,47,58
2010_Q1,2010,1,2010-04-22 23:19:12,150,287,103,22,18,0,0,0,0,0,0,0,0,0,0,54,56
2009_Q4,2009,4,2010-01-21 19:44:11,192,324,132,51,19,0,0,0,0,0,0,0,0,0,0,68,63
2009_Q3,2009,3,2009-10-22 20:11:27,165,194,78,33,10,0,0,0,0,0,0,0,0,0,0,55,37
2009_Q2,2009,2,2009-07-23 19:14:27,156,214,93,29,8,0,0,0,0,0,0,0,0,0,0,62,41
2009_Q1,2009,1,2009-04-23 23:43:16,219,300,144,20,15,0,0,0,0,0,0,0,0,0,0,80,74
2008_Q4,2008,4,2009-01-22 22:17:15,213,231,143,40,16,0,0,0,0,0,0,0,3,0,0,67,63
2008_Q3,2008,3,2008-10-23 20:51:26,150,270,109,20,10,0,0,0,0,0,0,0,0,0,0,81,61
2008_Q2,2008,2,2008-07-24 17:48:12,127,237,77,15,7,0,0,0,0,0,0,0,0,0,0,49,42
2008_Q1,2008,1,2008-04-28 05:31:14,138,238,101,18,11,0,0,0,0,0,0,0,0,0,0,81,55
2007_Q4,2007,4,2008-01-24 22:42:06,162,278,108,35,10,0,0,0,0,0,0,0,0,0,0,69,54
