ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-02-02 20:15:06,65,183,56,6,9,0,0,0,0,0,0,0,0,0,0,72,35
2020_Q3,2020,3,2020-10-28 17:45:13,71,181,38,3,8,0,0,0,0,0,0,0,0,0,0,75,27
2020_Q2,2020,2,2020-07-30 18:47:01,76,189,69,5,6,0,0,0,0,0,0,0,1,0,0,57,48
2020_Q1,2020,1,2020-04-28 17:47:48,161,187,77,6,14,0,0,0,0,0,0,0,0,0,0,64,39
2019_Q4,2019,4,2020-01-30 20:07:08,64,220,41,3,7,0,0,0,0,0,0,0,0,0,0,67,24
2019_Q3,2019,3,2019-10-22 17:19:11,86,242,54,2,3,0,0,0,0,0,0,0,0,0,0,80,29
2019_Q2,2019,2,2019-07-24 18:31:59,64,258,57,3,11,0,0,0,0,0,0,0,0,0,0,81,31
2019_Q1,2019,1,2019-04-25 19:50:08,75,234,46,0,6,0,0,0,0,0,0,0,0,0,0,36,25
2018_Q4,2018,4,2019-01-31 20:05:14,61,235,51,10,4,0,0,0,0,0,0,0,0,0,0,58,33
2018_Q3,2018,3,2018-10-24 17:46:16,79,205,41,5,10,0,0,0,0,0,0,0,0,0,0,70,24
2018_Q2,2018,2,2018-07-25 16:46:16,70,197,51,15,11,0,0,0,0,0,0,0,0,0,0,72,26
2018_Q1,2018,1,2018-04-26 17:24:15,86,203,45,4,4,0,0,0,0,0,0,0,0,0,0,83,28
2017_Q4,2017,4,2018-02-01 19:34:09,59,201,74,6,5,0,0,0,0,0,0,0,0,0,0,63,38
2017_Q3,2017,3,2017-10-26 17:44:26,74,188,59,2,14,0,0,0,0,0,0,0,0,0,0,79,35
2017_Q2,2017,2,2017-07-27 18:48:23,89,177,68,14,7,0,0,0,0,0,0,0,0,0,0,61,38
2017_Q1,2017,1,2017-04-27 19:20:34,86,204,51,5,4,0,0,0,0,0,0,1,0,0,0,76,35
2016_Q4,2016,4,2017-01-31 19:18:35,85,166,60,2,5,0,0,0,0,0,0,0,0,0,0,85,36
2016_Q3,2016,3,2016-10-27 16:28:26,70,199,52,0,15,0,0,0,0,0,0,0,0,0,0,86,30
2016_Q2,2016,2,2016-07-30 21:50:11,73,149,53,4,1,0,0,0,0,0,0,0,0,0,0,88,29
2016_Q1,2016,1,2016-04-29 05:38:32,96,202,82,13,8,0,0,0,0,0,0,0,0,0,0,58,47
2015_Q4,2015,4,2016-02-02 19:54:07,92,191,49,2,7,0,0,0,0,0,0,0,0,0,0,62,29
2015_Q3,2015,3,2015-10-27 17:20:05,79,187,57,2,11,0,0,0,0,0,0,0,0,0,0,78,38
2015_Q2,2015,2,2015-07-28 18:24:07,100,186,79,1,2,0,0,0,0,0,0,0,0,0,0,76,52
2015_Q1,2015,1,2015-04-28 17:49:05,98,177,71,11,5,0,0,0,0,0,0,0,0,0,0,64,46
2014_Q4,2014,4,2015-02-03 20:12:08,105,167,94,9,13,0,0,0,0,0,0,0,0,0,0,109,48
2014_Q3,2014,3,2014-10-24 17:32:09,63,156,49,10,5,0,0,0,0,0,0,0,0,0,0,63,32
2014_Q2,2014,2,2014-07-29 18:39:12,82,163,72,5,13,0,0,0,0,0,0,0,0,0,0,77,52
2014_Q1,2014,1,2014-04-24 19:11:23,89,200,83,18,8,0,0,0,0,0,0,0,0,0,0,78,56
2013_Q4,2013,4,2014-01-30 16:51:15,109,218,75,1,13,0,0,0,0,0,0,0,0,0,0,126,39
2013_Q3,2013,3,2013-10-25 20:06:06,98,221,94,10,6,0,0,0,0,0,0,0,0,0,0,77,53
2013_Q2,2013,2,2013-07-23 15:54:06,113,170,75,7,10,0,0,0,0,0,0,0,0,0,0,74,45
2013_Q1,2013,1,2013-04-25 16:12:07,92,174,72,7,7,0,0,0,0,0,0,0,0,0,0,66,42
2012_Q4,2012,4,2013-01-31 18:05:06,96,210,91,9,13,0,0,0,0,0,0,0,0,0,0,89,50
2012_Q3,2012,3,2012-10-23 18:01:09,118,152,67,5,7,0,0,0,0,0,0,0,0,0,0,117,31
2012_Q2,2012,2,2012-07-24 17:11:08,154,140,77,4,6,0,0,0,0,0,0,0,0,0,0,115,41
2012_Q1,2012,1,2012-04-26 18:21:06,74,167,50,8,12,0,0,0,0,0,0,0,0,0,0,71,19
2011_Q4,2011,4,2012-01-31 19:01:43,124,193,92,1,5,0,0,0,0,0,0,0,0,0,0,94,52
2011_Q3,2011,3,2011-10-25 17:21:32,114,171,94,5,7,0,0,0,0,0,0,0,0,0,0,83,41
