ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2021_Q1,2021,1,2021-01-29 03:35:04,94,178,87,10,29,0,0,0,0,0,0,0,0,0,0,64,57
2020_Q4,2020,4,2020-10-29 04:57:07,121,172,86,8,14,0,0,0,0,0,0,0,0,0,0,75,53
2020_Q3,2020,3,2020-07-29 02:53:07,181,153,126,22,22,0,0,0,0,0,0,0,0,0,0,79,67
2020_Q-1,2020,-1,2020-03-06 21:23:34,25,92,34,2,4,0,0,0,0,0,0,0,0,0,0,48,26
2020_Q0,2020,0,2020-06-02 22:46:05,89,127,68,11,6,0,0,0,0,0,0,0,0,0,0,36,34
2020_Q2,2020,2,2020-05-01 01:37:08,137,142,97,6,15,0,0,0,0,0,0,0,0,0,0,57,62
2020_Q1,2020,1,2020-01-31 03:39:32,114,132,113,7,11,0,0,0,0,0,0,0,0,0,0,44,56
2019_Q-1,2019,-1,2019-03-14 03:30:06,51,109,96,21,2,0,0,0,0,0,0,0,0,0,0,61,52
2019_Q4,2019,4,2019-10-25 04:38:38,94,178,81,7,5,0,0,0,0,0,0,0,0,0,0,62,43
2019_Q3,2019,3,2019-07-24 01:52:09,87,164,72,14,7,0,0,0,0,0,0,0,0,0,0,46,36
2019_Q0,2019,0,2019-05-31 22:48:09,46,103,46,19,6,0,0,0,0,0,0,0,0,0,0,40,23
2019_Q2,2019,2,2019-04-25 03:22:28,93,159,66,10,6,0,0,0,0,0,0,0,0,0,0,48,22
2019_Q1,2019,1,2019-01-31 02:50:09,114,106,79,11,8,0,0,0,0,0,0,0,0,0,0,49,39
2018_Q-1,2018,-1,2018-06-13 22:01:08,44,95,40,20,8,0,0,0,0,0,0,0,0,0,0,42,27
2018_Q0,2018,0,2018-05-15 16:45:09,35,85,42,9,8,0,0,0,0,0,0,0,0,0,0,14,28
2018_Q4,2018,4,2018-10-25 01:18:14,81,169,95,39,14,0,0,0,0,0,0,0,0,0,0,75,43
2018_Q3,2018,3,2018-07-26 02:08:07,86,159,58,28,6,0,0,0,0,0,0,0,0,0,0,46,31
2018_Q2,2018,2,2018-04-26 02:30:08,72,164,62,20,5,0,0,0,0,0,0,0,0,0,0,53,32
2018_Q1,2018,1,2018-02-02 05:32:09,64,139,58,8,15,0,0,0,0,0,0,0,0,0,0,70,30
2017_Q-1,2017,-1,2017-03-15 22:38:20,71,88,92,6,11,0,0,0,0,0,1,0,0,0,0,61,55
2017_Q0,2017,0,2017-06-02 07:04:06,36,119,48,19,6,0,0,0,0,0,0,0,0,0,0,27,29
2017_Q4,2017,4,2017-10-25 17:16:24,86,131,87,31,4,0,0,0,0,0,0,0,0,0,0,64,35
2017_Q3,2017,3,2017-07-21 03:19:04,77,155,71,18,6,0,0,0,0,0,0,0,0,0,0,34,39
2017_Q2,2017,2,2017-04-21 01:47:05,84,147,83,28,12,0,0,0,0,0,0,0,0,0,0,42,44
2017_Q1,2017,1,2017-02-03 03:48:18,91,163,82,18,11,0,0,0,0,0,0,0,0,0,0,47,41
2016_Q-1,2016,-1,2016-09-15 00:23:13,42,69,44,3,4,0,0,0,0,0,0,0,0,0,0,42,17
2016_Q4,2016,4,2016-10-25 02:48:13,127,171,114,4,10,0,0,0,0,0,0,0,0,0,0,117,55
2016_Q3,2016,3,2016-07-22 01:46:32,121,157,72,50,16,0,0,0,0,0,0,0,0,0,0,92,24
2016_Q0,2016,0,2016-05-23 17:02:43,74,66,31,15,4,0,0,0,0,0,0,0,0,0,0,41,15
2016_Q2,2016,2,2016-04-22 00:54:14,141,138,80,14,6,0,0,0,0,0,0,0,0,0,0,77,46
2016_Q1,2016,1,2016-01-29 03:57:04,145,151,100,13,13,0,0,0,0,0,0,0,0,0,0,70,57
2015_Q4,2015,4,2015-11-02 19:26:09,153,222,122,53,24,0,0,0,0,0,0,0,0,0,0,207,47
2015_Q-1,2015,-1,2015-03-24 19:31:09,72,52,47,9,8,0,0,0,0,0,0,0,0,0,0,23,35
2015_Q3,2015,3,2015-07-24 13:03:05,97,100,99,10,15,0,0,0,0,0,0,0,0,0,0,64,45
2015_Q0,2015,0,2015-05-19 21:18:03,53,123,52,4,4,0,0,0,0,0,0,0,0,0,0,26,36
2015_Q2,2015,2,2015-05-01 02:45:08,92,178,83,14,5,0,0,0,0,0,0,0,0,0,0,73,27
2015_Q1,2015,1,2015-01-30 03:42:05,108,111,85,11,5,0,0,0,0,0,0,0,0,0,0,54,36
2014_Q-1,2014,-1,2014-03-05 21:08:07,78,45,36,9,8,0,0,0,0,0,0,0,0,0,0,33,24
2014_Q4,2014,4,2014-10-30 03:13:03,100,125,70,18,12,0,0,0,0,0,0,0,0,0,0,46,23
2014_Q3,2014,3,2014-07-25 01:47:04,109,109,75,11,4,0,0,0,0,0,0,0,0,0,0,53,25
2014_Q2,2014,2,2014-04-25 02:27:05,87,101,62,26,11,0,0,0,0,0,0,0,0,0,0,34,37
2014_Q1,2014,1,2014-01-30 16:13:05,126,97,64,41,12,0,0,0,0,0,0,0,0,0,0,37,41
