ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-01-26 20:02:17,69,191,70,3,3,0,0,0,0,0,0,0,0,0,0,72,33
2020_Q3,2020,3,2020-10-21 19:27:05,85,239,62,6,9,0,0,0,0,0,0,0,0,0,0,57,36
2020_Q2,2020,2,2020-07-24 20:43:09,114,195,69,5,24,0,0,0,0,0,0,0,0,0,0,59,28
2020_Q1,2020,1,2020-04-24 19:11:09,150,169,92,0,20,0,0,0,0,0,0,0,0,0,0,91,53
2019_Q4,2019,4,2020-01-30 18:37:16,66,188,57,4,6,0,0,0,0,0,0,0,0,0,0,67,30
2019_Q3,2019,3,2019-10-25 17:48:11,53,195,49,2,12,0,0,0,0,0,0,0,0,0,0,36,29
2019_Q2,2019,2,2019-08-01 16:39:10,79,174,59,1,8,0,0,0,0,0,0,0,0,0,0,51,36
2019_Q1,2019,1,2019-04-23 19:22:15,64,160,49,2,6,0,0,0,0,0,0,0,0,0,0,61,27
2019_Q-1,2019,-1,2019-01-08 19:59:11,46,108,38,4,2,0,0,0,0,0,0,0,0,0,0,48,20
2018_Q-1,2018,-1,2018-03-07 18:37:07,31,149,61,5,13,0,0,0,0,0,0,0,0,0,0,56,47
2018_Q4,2018,4,2019-01-29 17:48:10,59,185,52,6,3,0,0,0,0,0,0,0,0,0,0,82,22
2018_Q3,2018,3,2018-10-23 19:11:52,74,194,56,2,8,0,0,0,0,0,0,0,0,0,0,65,37
2018_Q2,2018,2,2018-07-24 19:37:09,55,206,36,10,8,0,0,0,0,0,0,0,0,0,0,67,23
2018_Q0,2018,0,2018-05-16 02:44:11,40,78,69,9,9,0,0,0,0,0,0,0,1,0,0,33,45
2018_Q1,2018,1,2018-04-24 17:30:07,66,168,49,0,15,0,0,0,0,0,0,0,0,0,0,58,29
2017_Q4,2017,4,2018-01-23 18:00:05,96,169,64,14,3,0,0,0,0,0,0,0,0,0,0,79,33
2017_Q-1,2017,-1,2017-05-22 21:06:05,15,55,23,3,9,0,0,0,0,0,0,0,0,0,0,29,15
2017_Q0,2017,0,2017-03-06 21:18:05,32,104,55,8,6,0,0,0,0,0,0,0,0,0,0,47,33
2017_Q3,2017,3,2017-10-19 18:14:08,85,136,58,3,2,0,0,0,0,0,0,0,0,0,0,56,39
2017_Q2,2017,2,2017-07-27 16:46:22,85,135,67,3,3,0,0,0,0,0,0,0,0,0,0,62,43
2017_Q1,2017,1,2017-04-20 17:45:05,96,143,53,2,7,0,0,0,0,0,0,0,0,0,0,45,30
2016_Q4,2016,4,2017-01-24 19:34:05,95,195,76,24,4,0,0,0,0,0,0,1,0,0,0,67,37
2016_Q0,2016,0,2016-03-10 02:17:24,43,69,52,3,6,0,0,0,0,0,0,0,0,0,0,47,23
2016_Q3,2016,3,2016-10-20 19:18:05,101,132,55,12,1,0,0,0,0,0,1,0,0,0,0,73,31
2016_Q-1,2016,-1,2016-06-07 15:55:08,44,57,57,29,7,0,0,0,0,0,0,0,0,0,0,40,33
