ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q3,2020,3,2020-10-14 20:33:08,168,194,129,40,22,0,0,0,0,0,0,0,0,0,0,97,54
2020_Q2,2020,2,2020-07-14 21:09:06,230,190,186,45,34,0,0,0,0,0,0,0,0,0,0,113,64
2020_Q0,2020,0,2020-05-29 19:16:47,65,111,73,16,11,0,0,0,0,0,0,0,0,0,0,28,37
2020_Q1,2020,1,2020-04-15 00:49:11,339,125,161,20,40,0,0,0,0,0,0,0,0,0,0,92,65
2020_Q-1,2020,-1,2019-12-11 02:20:10,125,129,144,7,3,0,0,0,0,0,0,0,0,0,0,37,68
2019_Q3,2019,3,2019-10-15 17:55:08,141,169,132,38,18,0,0,0,0,0,0,0,0,0,0,76,55
2019_Q2,2019,2,2019-07-16 19:14:10,142,175,129,14,16,0,0,0,0,0,1,0,0,0,0,90,46
2019_Q1,2019,1,2019-04-12 23:03:09,177,233,193,62,31,0,0,0,0,0,0,0,0,0,0,87,74
2018_Q4,2018,4,2019-01-15 23:44:09,166,217,144,24,16,0,0,0,0,0,0,0,0,0,0,56,44
2018_Q-1,2018,-1,2018-03-07 22:30:07,26,54,49,13,10,0,0,0,0,0,0,0,0,0,0,29,23
2018_Q3,2018,3,2018-10-12 23:56:06,172,223,126,23,13,0,0,0,0,0,0,0,0,0,0,62,46
2018_Q2,2018,2,2018-07-13 22:45:10,178,167,115,41,22,0,0,0,0,0,0,0,0,0,0,52,44
2018_Q0,2018,0,2018-05-30 19:40:11,60,91,89,18,12,0,0,0,0,0,0,0,0,0,0,29,48
2018_Q1,2018,1,2018-04-14 00:07:07,177,157,136,35,16,0,0,0,0,0,0,0,0,0,0,78,50
2017_Q4,2017,4,2018-01-12 22:02:08,132,187,123,25,11,0,0,0,0,0,0,0,0,0,0,72,56
2017_Q-1,2017,-1,2017-06-01 05:17:07,36,77,94,21,9,0,0,0,0,0,0,0,0,0,0,43,52
2017_Q3,2017,3,2017-10-14 00:12:26,207,224,120,33,12,0,0,0,0,0,0,0,0,0,0,90,58
2017_Q2,2017,2,2017-07-14 20:07:06,145,222,123,34,19,0,0,0,0,0,0,0,0,0,0,68,51
2017_Q1,2017,1,2017-04-14 00:20:07,186,231,153,33,17,0,0,0,0,0,0,0,0,0,0,78,74
2016_Q4,2016,4,2017-01-13 23:45:08,180,198,108,35,21,0,0,0,0,0,0,0,0,0,0,75,49
2016_Q-1,2016,-1,2016-06-01 20:46:12,43,48,52,4,7,0,0,0,0,0,0,0,0,0,0,44,31
2016_Q3,2016,3,2016-10-15 03:14:05,198,198,135,40,12,0,0,0,0,0,0,0,0,0,0,77,72
2016_Q2,2016,2,2016-07-15 19:39:21,137,221,139,5,9,0,0,0,0,0,0,0,0,0,0,65,58
2016_Q0,2016,0,2016-06-03 18:07:21,54,165,70,11,8,0,0,0,0,0,0,0,0,0,0,16,37
2016_Q1,2016,1,2016-04-14 22:57:08,168,170,147,8,18,0,0,0,0,0,0,0,0,0,0,78,57
2015_Q4,2015,4,2016-01-16 00:50:07,152,181,123,9,12,0,0,0,0,0,0,0,0,0,0,49,58
2015_Q-1,2015,-1,2015-05-19 18:43:11,59,106,51,11,5,0,0,0,0,0,0,0,0,0,0,26,18
2015_Q3,2015,3,2015-10-14 21:01:20,96,177,78,11,14,0,0,0,0,0,0,0,1,0,0,56,40
