ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2021_Q4,2021,4,2021-02-20 19:55:06,159,632,176,8,14,0,0,0,0,0,0,0,0,0,0,258,110
2021_Q3,2021,3,2020-11-17 19:04:07,96,281,68,5,11,0,0,0,0,0,1,0,0,1,0,61,44
2021_Q2,2021,2,2020-08-18 14:54:10,117,226,78,4,14,0,0,0,0,0,0,0,0,0,0,63,43
2021_Q1,2021,1,2020-05-19 20:13:11,117,136,122,5,6,0,0,0,0,0,0,0,0,0,0,65,55
2020_Q0,2020,0,2020-05-27 22:49:16,53,105,74,8,3,0,0,0,0,0,0,0,0,0,0,64,42
2020_Q-1,2020,-1,2020-03-06 18:06:09,39,115,61,4,1,0,0,0,0,0,0,0,0,0,0,35,34
2019_Q-1,2019,-1,2019-03-05 19:28:07,23,80,22,7,3,0,0,0,0,0,0,0,0,0,0,23,13
2019_Q4,2019,4,2019-02-19 23:08:10,109,296,87,9,8,0,0,0,0,0,0,0,0,0,0,93,44
2018_Q-1,2018,-1,2018-03-06 18:49:08,20,102,17,2,2,0,0,0,0,0,0,0,0,0,0,47,11
2018_Q1,2018,1,2017-05-18 12:16:50,34,100,31,11,3,0,0,0,0,0,0,0,0,0,0,15,6
2018_Q4,2018,4,2018-02-20 18:01:10,116,235,79,7,3,0,0,0,0,0,0,0,0,0,0,98,42
2018_Q3,2018,3,2017-11-16 14:26:45,67,93,49,2,2,0,0,0,0,0,0,0,0,0,0,39,33
2018_Q2,2018,2,2017-08-17 12:42:07,25,136,26,11,4,0,0,0,0,0,0,0,0,0,0,10,3
2017_Q-1,2017,-1,2017-03-14 18:44:08,36,158,39,4,1,0,0,0,0,0,0,0,0,0,0,39,23
2017_Q3,2017,3,2016-11-17 14:59:21,29,160,37,10,3,0,0,0,0,0,0,0,0,0,0,22,5
2017_Q2,2017,2,2016-08-18 16:14:00,26,155,31,4,6,0,0,0,0,0,0,0,0,0,0,20,5
2017_Q1,2017,1,2016-05-19 13:27:56,38,144,32,9,3,0,0,0,0,0,0,0,0,0,0,23,7
2016_Q4,2016,4,2016-02-18 17:42:11,102,288,64,15,11,0,0,0,0,0,0,0,0,0,0,68,19
2016_Q0,2016,0,2016-03-10 02:03:55,15,143,14,1,1,0,0,0,0,0,0,0,0,0,0,42,11
2016_Q-1,2016,-1,2016-03-15 20:41:09,38,116,48,2,4,0,0,0,0,0,0,0,0,0,0,31,34
2016_Q3,2016,3,2015-11-17 17:55:17,71,258,57,16,6,0,0,0,0,0,0,0,0,0,0,69,15
2016_Q2,2016,2,2015-08-18 19:59:08,86,309,79,19,13,0,0,0,0,0,0,0,0,0,0,73,15
2016_Q1,2016,1,2015-05-19 15:28:12,75,245,71,8,12,0,0,0,0,0,0,0,0,0,0,46,12
2015_Q-1,2015,-1,2015-03-04 21:04:10,48,92,34,2,6,0,0,0,0,0,0,0,0,0,0,27,25
2015_Q4,2015,4,2015-02-19 17:34:14,103,332,78,14,18,0,0,0,0,0,0,0,0,0,0,81,22
2015_Q3,2015,3,2014-11-13 17:55:26,80,279,74,23,12,0,0,0,0,0,0,0,0,0,0,67,20
2015_Q2,2015,2,2014-08-15 13:37:10,90,326,83,19,13,0,0,0,0,0,0,0,0,0,0,85,15
2015_Q1,2015,1,2014-05-15 14:03:05,87,294,95,19,17,0,0,0,0,0,0,0,0,0,0,71,17
2014_Q-1,2014,-1,2014-06-19 19:23:08,18,69,25,0,3,0,0,0,0,0,0,0,0,0,0,18,12
2014_Q0,2014,0,2014-03-04 20:47:10,18,97,25,0,3,0,0,0,0,0,0,0,0,0,0,35,14
