ID,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count
2020_Q4,2020,4,2021-02-03 02:56:06,123,314,80,9,34,0,0,0,0,0,0,0,0,0,0,47,32
2020_Q3,2020,3,2020-10-30 21:24:08,156,190,83,2,20,0,0,0,0,0,0,0,0,0,0,86,32
2020_Q2,2020,2,2020-07-31 17:59:08,188,217,113,4,24,0,0,0,0,0,0,0,0,0,0,134,46
2020_Q0,2020,0,2020-05-27 21:59:15,173,177,79,31,21,0,0,0,0,0,0,0,0,0,0,90,21
2020_Q1,2020,1,2020-05-01 20:00:40,161,175,100,1,24,0,0,0,0,0,0,0,0,0,0,105,39
2019_Q4,2019,4,2020-01-31 23:00:06,126,292,94,5,16,0,0,0,0,0,0,0,0,0,0,103,47
2019_Q3,2019,3,2019-11-01 19:25:12,111,220,99,8,26,0,0,0,0,0,0,0,0,0,0,98,42
2019_Q-1,2019,-1,2019-06-18 18:25:38,59,186,100,14,11,0,0,0,0,0,0,0,0,0,0,65,39
2019_Q2,2019,2,2019-08-02 22:11:54,101,187,113,5,7,0,0,0,0,0,0,0,0,0,0,92,58
2019_Q1,2019,1,2019-04-26 21:12:25,102,185,91,4,17,0,0,0,0,0,1,0,0,0,0,66,54
2018_Q4,2018,4,2019-02-02 00:20:09,141,256,71,3,20,0,0,0,0,0,0,0,0,0,0,61,41
2018_Q3,2018,3,2018-11-02 19:26:28,107,240,88,3,9,0,0,0,0,0,0,0,0,0,0,72,52
2018_Q2,2018,2,2018-07-28 00:30:07,159,195,117,6,4,0,0,0,0,0,0,0,0,0,0,111,45
2018_Q0,2018,0,2018-05-30 21:15:09,125,199,74,25,29,0,0,0,0,0,0,0,0,0,0,74,20
2018_Q1,2018,1,2018-04-27 22:43:10,109,192,74,5,21,0,0,0,0,0,0,0,0,0,0,76,40
2018_Q-1,2018,-1,2018-03-07 20:01:03,210,628,163,16,45,0,0,0,0,0,0,0,0,0,0,151,83
2017_Q4,2017,4,2018-02-03 00:38:08,146,197,82,13,24,0,0,0,0,0,0,0,0,0,0,57,45
2017_Q3,2017,3,2017-10-27 22:54:42,102,210,98,14,14,0,0,0,0,0,0,0,0,0,0,85,48
2017_Q2,2017,2,2017-07-28 20:26:22,95,199,83,11,6,0,0,0,0,0,0,0,0,0,0,102,42
2017_Q0,2017,0,2017-06-01 01:17:09,158,311,114,38,72,0,0,0,0,0,0,0,0,0,0,123,47
2017_Q1,2017,1,2017-04-28 18:38:19,79,178,86,14,23,0,0,0,0,0,0,0,0,0,0,90,46
2017_Q-1,2017,-1,2017-03-01 21:31:03,92,452,89,4,23,0,0,0,0,0,0,0,0,0,0,94,50
2016_Q4,2016,4,2017-01-31 22:18:06,100,175,65,16,23,0,0,0,0,0,0,0,0,0,0,85,35
2016_Q3,2016,3,2016-10-28 20:40:08,86,150,101,10,18,0,0,0,0,0,0,0,0,0,0,61,61
2016_Q2,2016,2,2016-07-29 18:52:39,119,185,76,13,14,0,0,0,0,0,0,0,0,0,0,72,36
2016_Q1,2016,1,2016-04-29 19:13:17,108,224,67,11,15,0,0,0,0,0,0,0,0,0,0,61,44
2015_Q4,2015,4,2016-02-02 21:52:13,118,232,81,11,13,0,0,0,0,0,0,0,0,0,0,99,47
2015_Q3,2015,3,2015-10-30 18:22:08,108,241,83,12,11,0,0,0,0,0,0,0,0,0,0,63,51
2015_Q2,2015,2,2015-07-31 21:58:09,98,186,118,22,14,0,0,0,0,0,0,0,0,0,0,63,69
2015_Q1,2015,1,2015-04-30 19:58:11,80,200,72,3,13,0,0,0,0,0,0,0,0,0,0,76,46
2015_Q-1,2015,-1,2015-03-05 09:40:07,150,415,158,17,43,0,0,0,0,0,0,0,0,0,0,119,72
2014_Q4,2014,4,2014-03-06 05:31:10,167,459,173,11,54,0,0,0,0,0,0,0,1,0,0,158,69
2014_Q3,2014,3,2014-10-31 22:00:10,95,197,63,7,10,0,0,0,0,0,0,0,0,0,0,33,45
2014_Q2,2014,2,2014-07-31 20:02:05,63,169,54,8,5,0,0,0,0,0,0,0,0,0,0,51,29
2014_Q0,2014,0,2014-05-29 10:00:08,145,299,137,61,54,0,0,0,0,0,0,0,1,0,0,121,67
2014_Q1,2014,1,2014-05-01 21:44:14,73,187,58,10,10,0,0,0,0,0,0,0,0,0,0,38,35
2013_Q4,2013,4,2014-01-30 19:30:11,114,236,75,9,16,0,0,0,0,0,0,0,0,0,0,45,46
2013_Q3,2013,3,2013-10-31 18:12:09,102,226,73,6,8,0,0,0,0,0,0,0,0,0,0,46,41
2013_Q2,2013,2,2013-08-01 18:15:09,104,142,56,5,11,0,0,0,0,0,0,0,0,0,0,45,37
2013_Q0,2013,0,2013-05-29 22:14:08,169,274,141,49,58,0,0,0,0,0,0,0,0,0,1,126,51
2013_Q1,2013,1,2013-04-25 17:16:09,65,117,31,5,6,0,0,0,0,0,0,0,0,0,0,36,17
2013_Q-1,2013,-1,2012-12-11 22:02:05,61,171,53,5,13,0,0,0,0,0,0,0,0,0,0,87,29
2012_Q4,2012,4,2013-02-01 19:11:22,95,133,64,2,4,0,0,0,0,0,0,0,0,0,0,59,31
2012_Q3,2012,3,2012-11-01 16:36:07,130,145,68,3,11,0,0,0,0,0,0,0,0,0,0,64,38
2012_Q2,2012,2,2012-07-26 19:21:04,107,108,78,6,12,0,0,0,0,0,0,1,0,0,0,36,43
2012_Q0,2012,0,2012-05-30 21:01:03,146,310,139,67,43,0,0,0,0,0,0,0,0,0,0,135,57
2012_Q1,2012,1,2012-04-26 18:41:10,83,166,58,8,6,0,0,0,0,0,0,0,0,0,0,53,29
2012_Q-1,2012,-1,2012-03-08 21:01:03,119,500,142,17,40,0,0,0,0,0,0,0,0,0,0,182,50
2011_Q4,2011,4,2012-01-31 21:41:10,127,150,56,7,7,0,0,0,0,0,0,0,0,0,0,96,31
2011_Q3,2011,3,2011-10-27 23:51:17,98,133,48,5,2,0,0,0,0,0,0,0,0,0,0,49,29
2011_Q2,2011,2,2011-07-28 19:01:23,86,129,71,6,6,0,0,0,0,0,0,0,0,0,0,54,42
2011_Q1,2011,1,2011-04-28 19:51:19,91,123,53,12,1,0,0,0,0,0,0,0,0,0,0,62,32
2010_Q4,2010,4,2011-01-31 22:09:30,68,155,58,13,7,0,0,0,0,0,0,0,0,0,0,63,31
2010_Q3,2010,3,2010-10-28 20:06:18,95,122,68,11,7,0,0,0,0,0,0,0,0,0,0,64,38
2010_Q1,2010,1,2010-04-30 07:16:20,56,116,54,22,8,0,0,0,0,0,0,0,0,0,0,34,30
2009_Q4,2009,4,2010-02-01 22:33:11,74,125,49,10,4,0,0,0,0,0,0,0,0,0,0,31,29
2009_Q3,2009,3,2009-10-30 06:44:09,88,164,40,19,8,0,0,0,0,0,0,0,0,0,0,30,22
2009_Q2,2009,2,2009-07-31 04:59:22,68,111,63,4,6,0,0,0,0,0,0,0,0,0,0,46,34
2009_Q1,2009,1,2009-04-30 21:11:52,94,143,71,4,7,0,0,0,0,0,0,0,0,0,0,37,43
2008_Q4,2008,4,2009-01-30 20:51:31,64,113,39,3,5,0,0,0,0,0,0,0,0,0,0,31,28
2008_Q3,2008,3,2008-10-30 21:50:13,68,111,53,11,16,0,0,0,0,0,0,0,0,0,0,29,31
2008_Q2,2008,2,2008-07-31 23:38:18,59,61,51,9,4,0,0,0,0,0,0,0,0,0,0,38,38
2008_Q1,2008,1,2008-05-01 20:18:11,83,99,62,22,11,0,0,0,0,0,0,0,0,0,0,29,31
2007_Q4,2007,4,2008-02-01 19:26:06,37,82,48,9,9,0,0,0,0,0,0,0,1,0,0,30,36
2007_Q3,2007,3,2007-11-01 21:26:53,65,92,51,5,5,0,0,0,0,0,0,0,0,0,0,32,35
2007_Q2,2007,2,2007-07-26 21:07:07,69,125,61,10,3,0,0,0,0,0,0,0,0,0,0,35,28
2007_Q1,2007,1,2007-04-26 20:29:19,52,100,64,9,6,0,0,0,0,0,0,0,0,0,0,36,39
2006_Q4,2006,4,2007-02-01 21:14:06,84,100,66,9,11,0,0,0,0,0,0,0,0,0,0,59,38
